name,Full Name,EIC_Code,TSO,Maximum Current Imax (A) primary Min,Maximum Current Imax (A) primary Max,Maximum Current Imax (A) primary Fixed,Voltage_level(kV) Primary,Voltage_level(kV) Secondary,r,x,b,g,Taps used for RAO,Theta θ (°),Symmetrical/Asymmetrical,Phase Regulation δu (%),Angle Regulation δu (%),Comment,geometry,bus0,s_nom,bus1
T_29,,,Amprion GmbH,,,,,,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,,,,,Added for coherence. Not in the data.,POINT (8.104639054942622 52.26510433428034),37764852,232.32,37764852T
T_30,,,Amprion GmbH,,,,,,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,,,,,Added for coherence. Not in the data.,POINT (8.104639054942622 52.26510433428034),37764852,232.32,37764852TT
27,TR Buerstadt,11T0-0000-0572-6,Amprion GmbH,,2008.0,,230.0,400.0,0.0005348172527282176,0.03645851377100295,-20782.8,2771.04,,,,1.231,,,POINT (8.419373160819045 49.63371907557318),149987048,461.84,149987048T
28,TR Buerstadt,11T0-0000-0571-9,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,-60.0,,,1.385,,POINT (8.419373160819045 49.63371907557318),149987048,769.6,149987048T
484,TR / 380-220kV / Daxlanden / Trafo 401,11TD400000023-T9,TRANSNETBW,,,1443.0,380.0,220.0,0.0004508516613779771,0.044933800196958085,-1242.0065502,580.1985540000001,,0.0,Symmetrical,1.389,,,POINT (8.31334022540613 49.009043472661205),152261133,548.34,152261133T
485,TR / 380-220kV / Daxlanden / Trafo 402,11TD400000028-TQ,TRANSNETBW,,,1443.0,380.0,220.0,0.0006261808367071525,0.04405660721450195,-4157.2890606,881.127546,,0.0,Symmetrical,1.444,,,POINT (8.31334022540613 49.009043472661205),152261133,548.34,152261133T
54,TR Urberach,11T0-0000-0874-M,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,-60.0,,,1.385,,POINT (8.772275034667391 49.97457434094864),23284340,769.6,23284340T
55,TR Urberach,11T0-0000-0875-J,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,-60.0,,,1.385,,POINT (8.772275034667391 49.97457434094864),23284340,769.6,23284340T
437,TR Bechterdissen T424,11TD2T000000246I,TENNETGMBH,,,693.0,380.0,220.0,0.0030151135414293313,0.23177261335156074,-164.85083999999998,213.83208,,,,1.231,,,POINT (8.659610012459176 52.00034857382529),24264701,263.34,24264701T
438,TR Bechterdissen T423,11TD2T000000245K,TENNETGMBH,,,693.0,380.0,220.0,0.003007518796992482,0.23177261335156074,-132.19668,235.42595999999998,,,,1.231,,,POINT (8.659610012459176 52.00034857382529),24264701,263.34,24264701T
