,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_id,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments
Zaya,16.800003975379468,48.60583472856317,AT,APG,96616299.0,Polygon,Umspannwerk Neusiedl an der Zaya,AT,380000;220000;110000,Netz NÖ;APG,Zaya,Matched using the alt_name.
Jochenstein,13.710737003499268,48.51930895732804,AT,APG,50729129.0,Polygon,Umspannwerk Jochenstein,AT,220000,,,
LINT,4.508677556016,51.117666166209474,BE,ELIA,16584741.0,Polygon,Lint,BE,380000;150000,Elia,,
GOUY,4.332407428448886,50.48248685805815,BE,ELIA,87761208.0,Polygon,Gouy,BE,380000;150000;70000,Elia,,
ST-MARD SNCB,5.514226583194245,49.55130883534017,BE,ELIA,121085954.0,Polygon,Saint-Mard,BE,220000,Elia,,
ACHENE SNCB,5.05539200118394,50.26052410417071,BE,ELIA,88373135.0,Polygon,Achêne,BE,380000;70000,Elia,,
REPIQUAGE HOUFFALIZE 220kV,5.7982861,50.1499684,BE,ELIA,1292967364.0,Point,,BE,220000,,,Y-junction at 0.3 km from the station
IZEGEM,3.22668259225486,50.8980325470581,BE,ELIA,93056461.0,Polygon,Izegem,BE,380000;150000;70000,Elia,,
MERCATOR,4.24689593666668,51.15409669410861,BE,ELIA,23151789.0,Polygon,Mercator,BE,380000,Elia,,
CENTRALE COO,5.861360255339036,50.38465968316827,BE,ELIA,88799385.0,Polygon,Coo,BE,380000,Elia,,
HOUFFALIZE,5.795434395894523,50.15003415858498,BE,ELIA,114082368.0,Polygon,Mont-lez-Houffalize,BE,220000;70000,,,
RODENHUIZE,3.775457721152901,51.13209367371231,BE,ELIA,87763325.0,Polygon,Rodenhuize,BE,380000;150000,,,
GRAMME,5.28695032598032,50.51204012269926,BE,ELIA,87772591.0,Polygon,Poste Elia Gramme,BE,380000;150000,Elia,,
SART-TILMAN,5.559734594504583,50.59033449311225,BE,ELIA,94155586.0,Polygon,Sart-Tilman,BE,220000;70000,Elia,,
CHAMPION (NAMUR),4.903899490618288,50.48862132270484,BE,ELIA,90113579.0,Polygon,Champion,BE,380000;70000,,,
RIMIERE,5.4718802841380105,50.540253503031536,BE,ELIA,7578992.0,MultiPolygon,Rimière,BE,380000;220000;70000,Elias,,
BRUME,5.843362737369794,50.375498011383655,BE,ELIA,88799384.0,Polygon,Brume,BE,380000;220000,Elia,,
HORTA,3.604571104459805,51.11472029141639,BE,ELIA,495688597.0,Polygon,Horta,BE,380000,Elia,,
LIXHE,5.668085597561913,50.75438286200539,BE,ELIA,23141556.0,Polygon,380 kV Lixhe,BE,380000;220000,,,
LATOUR,5.58529480091167,49.54872558878274,BE,ELIA,161224164.0,Polygon,Latour,BE,220000,Elia,,
REPIQUAGE LATOUR 220kV,5.5866527,49.5471708,BE,ELIA,1356298440.0,Point,,BE,220000,,,Y-junction at 0.2 km from the station
STEVIN,3.1839019958695,51.32594793322628,BE,ELIA,392090271.0,Polygon,Stevin,BE,380000;220000;150000,Elia,,
AWIRS,5.41501190309666,50.58458329274241,BE,ELIA,24552827.0,Polygon,Awirs,BE,220000;150000,,,
REPIQUAGE MARCOURT 220kV,5.5438201,50.2104585,BE,ELIA,1068913285.0,Point,,BE,220000,,,Y-junction at 0.6 km from the station
DOEL,4.254884065820145,51.32271623001677,BE,ELIA,23136868.0,Polygon,Doel 380,BE,380000,Elia,,
KALLO,4.288790448685698,51.253309925083,BE,ELIA,23136911.0,Polygon,Kallo,BE,380000;150000,Elia,,
ROMSEE SNCB,5.660362327408626,50.61393267752886,BE,ELIA,91752661.0,Polygon,220 kV Romsée,BE,220000;150000,,,
LA TROQUE,5.496385706035494,50.60273511412971,BE,ELIA,204940263.0,Polygon,La Troque,BE,220000,Elia,,
LE VAL,5.4926694291533495,50.60421604030995,BE,ELIA,103041283.0,Polygon,Le Val,BE,220000,Elia,,
ALEGRO CONVERTOR STATION,5.667341474828991,50.7530405781785,BE,ELIA,863806531.0,Polygon,Convertisseur ALEGrO Lixhe,BE,380000,Elia,,
MAERLANT,3.315546586219221,51.227253274780814,BE,ELIA,495688586.0,Polygon,Van Maerlant,BE,380000,Elia,,
AFTAKKING RODENHUIZE 380kV,3.7804502,51.1327222,BE,ELIA,1020416515.0,Point,,BE,380000,,,Y-junction at 0.2 km from the station
AFTAKKING MEKINGEN 380kV,4.2201958,50.7567046,BE,ELIA,250052256.0,Point,,BE,380000,,,Y-junction at 10.3 km from the station
ZANDVLIET,4.24817447471769,51.36956684715293,BE,ELIA,23136343.0,Polygon,Zandvliet,BE,380000;150000,Elia,,
BERNEAU,5.716952209056813,50.74308722476059,BE,ELIA,1001478336.0,Polygon,Longue Vue,BE,220000,,,
OFFSHORE WINDPARK,2.991500000000005,51.51349999999986,BE,ELIA,6710858402.0,Point,Norther Offshore Substation,BE,220000;33000,,,
TIHANGE 3,5.268948020506301,50.53469527945089,BE,ELIA,104524889.0,Polygon,Tihange,BE,380000,Elia,,
AUBANGE,5.795846665169853,49.56639610066227,BE,ELIA,121085952.0,Polygon,Aubange,BE,380000;220000,Elia,,"Manually corrected. In BE, but also in LU"
LILLO,4.307260501468507,51.30118844699209,BE,ELIA,19783816.0,Polygon,Elia Lillo,BE,380000,Elia,,
JUPILLE,5.619614538353743,50.64453228783661,BE,ELIA,91142310.0,Polygon,220 kV Jupille,BE,220000;150000,,,
POSTE DE TRANSITION LONGUE VUE 220kV,5.716952209056813,50.74308722476059,BE,ELIA,1001478336.0,Polygon,Longue Vue,BE,220000,,,
REPIQUAGE SENONCHAMPS 220kV,5.6620236,49.9933909,BE,ELIA,1068913125.0,Point,,BE,220000,,,Y-junction at 1.5 km from the station
TERGNEE,4.567921811327316,50.43683040440003,BE,ELIA,98410713.0,Polygon,380kV Tergnée,BE,380000;150000,,,
VAN EYCK,5.774219715428733,51.12103502024237,BE,ELIA,124703985.0,Polygon,Van Eyck,BE,380000,Elia,,
AVELGEM,3.469245484828019,50.78256808907241,BE,ELIA,87529551.0,Polygon,Avelgem,BE,380000,Elia,,
MASSENHOVEN,4.629278909989232,51.19581789367956,BE,ELIA,32002039.0,Polygon,Massenhoven,BE,380000;150000,Elia,,
BRUME SNCB,5.843362737369794,50.375498011383655,BE,ELIA,88799384.0,Polygon,Brume,BE,380000;220000,Elia,,
MARCOURT,5.5500577062992935,50.21003502026021,BE,ELIA,92015823.0,Polygon,Marcourt,BE,220000,Elia,,
OFFSHORE SWITCHYARD,2.991500000000005,51.51349999999986,BE,ELIA,6710858402.0,Point,Norther Offshore Substation,BE,220000;33000,,,
BELVAL,5.94774781221324,49.510111772265766,BE,ELIA,387620061.0,Polygon,Belval,LU,220000,Elias,,"Manually corrected. In LU, but also in BE"
GEZELLE,3.201002691788593,51.26361549840031,BE,ELIA,432647374.0,Polygon,Gezelle,BE,380000,Elia,,
HEINSCH,5.755441654366624,49.69319945208319,BE,ELIA,33814632.0,Polygon,Poste 220/70/15 kV de Heinsch,BE,220000;70000;15000,Elia,,
ST-MARD,5.514226583194245,49.55130883534017,BE,ELIA,121085954.0,Polygon,Saint-Mard,BE,220000,Elia,,
BASTOGNE,5.686983957211397,49.999782637783966,BE,ELIA,1062894258.0,Polygon,Bastogne,BE,220000,Elia,,
TIHANGE 2,5.268948020506301,50.53469527945089,BE,ELIA,104524889.0,Polygon,Tihange,BE,380000,Elia,,
AFTAKKING ZUTTENDAAL 380kV,5.5440375,50.9078352,BE,ELIA,249845893.0,Point,,BE,380000,,,Y-junction at 14.2 km from the station
TIHANGE 1,5.268948020506301,50.53469527945089,BE,ELIA,104524889.0,Polygon,Tihange,BE,380000,Elia,,
AFTAKKING BUGGENHOUT 380kV,4.2305022,51.0228458,BE,ELIA,423389300.0,Point,,BE,380000,,,Y-junction at 15.5 km from the station
VERBRANDE BRUG,4.42036284894269,50.94324026572486,BE,ELIA,23208935.0,Polygon,Verbrande Brug,BE,380000;150000,Elias,,
ACHENE,5.05539200118394,50.26052410417071,BE,ELIA,88373135.0,Polygon,Achêne,BE,380000;70000,Elia,,
MEERHOUT,5.0633321252754016,51.10726015525498,BE,ELIA,87807194.0,Polygon,Meerhout,BE,380000;150000,Elia,,
REPIQUAGE ST-AMAND 380kV,4.5265341,50.4946937,BE,ELIA,1138687359.0,Point,,BE,380000,,,Y-junction at 7.5 km from the station
COURCELLES,4.34753498839775,50.49452828227795,BE,ELIA,87772593.0,Polygon,Courcelles,BE,380000,Elia,,
BRUEGEL,4.231652735726668,50.88096343870187,BE,ELIA,23175771.0,Polygon,380kV Bruegel,BE,380000,,,
ANDRE DUMONT,5.4862223313450365,50.93932316871574,BE,ELIA,457635067.0,Polygon,André Dumont,BE,380000;150000,Elia,,
ROUVROY,5.506537603202984,49.54942751825487,BE,ELIA,121085955.0,Polygon,Rouvroy,BE,220000,Elia,,
SERAING,5.521646542164442,50.61477419123687,BE,ELIA,204940265.0,Polygon,Seraing,BE,220000;70000,Elia,,
DROGENBOS,4.301250328863836,50.8037002287813,BE,ELIA,23176013.0,Polygon,Elia Drogenbos,BE,380000;150000,,,
ROMSEE,5.660362327408626,50.61393267752886,BE,ELIA,91752661.0,Polygon,220 kV Romsée,BE,220000;150000,,,
VILLEROUX,5.662765659211864,49.97563670726449,BE,ELIA,92007188.0,Polygon,Villeroux,BE,220000;70000,,,
TIHANGE BIS,5.268948020506301,50.53469527945089,BE,ELIA,104524889.0,Polygon,Tihange,BE,380000,Elia,,
