bus_id,v_nom,x,y,x_3035,y_3035
3982,220.0,9.728737,54.290219,,
35781,220.0,9.725986368902143,54.28780684054939,,
39458,220.0,9.726960959542497,54.2909483054181,,
35782,380.0,9.725986368902143,54.28780684054939,,
16697,380.0,9.7271436,54.28920960000001,,
15932,380.0,9.729133800000001,54.2882577,,
14344,380.0,9.7237416,54.2868645,,
3981,220.0,9.9572075,54.321589,,
16694,380.0,9.3322302,54.7210228,,
15933,380.0,9.9822366,53.752385100000005,,
3979,220.0,9.9843556,54.3199946,,
16695,380.0,9.313836700000001,54.7266276,,
15934,380.0,9.979425800000001,53.7447906,,
116,380.0,9.3508194,53.921416900000004,,
3978,220.0,9.9968298,54.3134086,,
15935,380.0,9.978262500000001,53.7429952,,
117,380.0,9.3557308,53.878343300000004,,
1049,380.0,9.2474899,53.8981792,,
458,380.0,9.981701300000001,53.7422582,,
16227,380.0,9.7760634,53.697539400000004,,
120,380.0,9.427268100000001,53.869839000000006,,
1552,220.0,9.3618889,53.873170200000004,,
451,380.0,9.206741300000001,53.8957715,,
455,380.0,9.207074800000001,53.8946004,,
19686,380.0,9.204646700000001,53.897014500000004,,
457,380.0,9.975146,53.7403927,,
916,220.0,9.980878200000001,53.743394900000006,,
757,380.0,9.992687,53.741981900000006,,
19590,380.0,9.768475800000001,53.6968789,,
114,380.0,9.458743400000001,53.8644784,,
453,380.0,9.4269171,53.869454100000006,,
912,220.0,9.979425800000001,53.7447906,,
758,380.0,10.060753400000001,53.6876717,,
16226,380.0,9.7731939,53.695112800000004,,
39882,380.0,9.500899662075508,53.84708450127403,,
1560,220.0,9.427268100000001,53.869839000000006,,
1559,220.0,9.4488157,53.9659549,,
19684,380.0,9.1158902,53.9528181,,
452,380.0,9.4249589,53.869776200000004,,
913,220.0,9.9822366,53.752385100000005,,
914,220.0,9.984083400000001,53.759848000000005,,
753,380.0,10.1676087,53.558734900000005,,
129,380.0,9.635401700000001,53.635655500000006,,
1556,220.0,9.4596775,53.8646575,,
759,380.0,10.1620378,53.5571561,,
130,380.0,9.612654000000001,53.608268,,
1555,220.0,9.438079,53.9144683,,
131,380.0,9.6034152,53.6023129,,
915,220.0,9.9845936,53.758409300000004,,
15067,220.0,9.9902116,53.7693275,,
124,380.0,9.555538,53.564494100000005,,
15065,220.0,10.6364753,53.9195932,,
122,380.0,9.551338300000001,53.5617822,,
123,380.0,9.527403000000001,53.5469049,,
40376,380.0,9.0972912,54.4968495,,
19607,380.0,9.521154000000001,53.546015700000005,,
15343,220.0,10.6472909,53.9145757,,
5390,380.0,9.862366300000001,53.4921695,,
12607,380.0,10.499985500000001,53.425198900000005,,
1667,380.0,10.283622000000001,53.288665,,
5393,380.0,9.5063732,53.54198280000001,,
12610,380.0,10.507051200000001,53.5146816,,
1668,380.0,10.373261000000001,53.220868,,
12612,380.0,10.8251912,53.5131298,,
16212,220.0,9.4963701,53.638573900000004,,
14078,220.0,9.485662900000001,53.635901100000005,,
14292,380.0,8.538940100000001,53.228106700000005,,
14294,380.0,8.5217641,53.2071983,,
400,380.0,9.127423,52.538786,,
8061,220.0,9.137948,52.847027000000004,,
1366,220.0,8.8726099,53.184910800000004,,
12613,380.0,11.244156,53.5021793,,
14657,380.0,8.4961199,53.199316,,
402,380.0,9.320710400000001,52.3511864,,
12614,380.0,11.358456400000001,53.598441900000005,,
14662,380.0,8.423354,53.2315684,,
1371,220.0,8.4961199,53.199316,,
12608,380.0,11.3636415,53.59711050000001,,
7829,380.0,8.937053200000001,52.402362000000004,,
1745,220.0,9.320710400000001,52.3511864,,
4284,380.0,11.370298,53.594984800000006,,
1630,380.0,10.237508,52.2922001,,
17955,380.0,10.362842,52.284675,,
1357,220.0,8.4078154,53.234633300000006,,
9272,380.0,8.403776500000001,52.607005,,
17956,380.0,10.247831000000001,52.187619000000005,,
1102,380.0,10.7026695,52.3633674,,
1159,220.0,10.192738,52.30246,,
1321,380.0,8.4050255,53.237383200000004,,
795,380.0,8.404867600000001,53.236101500000004,,
1361,220.0,8.4060232,53.2347758,,
7763,380.0,9.413702800000001,52.0274433,,
10705,220.0,9.8524163,51.8987653,,
1746,220.0,9.5164449,52.36347670000001,,
35473,380.0,11.37062303275234,53.60070409362848,,
1624,380.0,10.233142,52.293298,,
17957,380.0,10.2573992,52.171624200000004,,
12009,220.0,10.3697256,52.2845786,,
12856,220.0,10.3695681,52.285234300000006,,
1105,380.0,10.7568248,52.367934600000005,,
1323,380.0,8.471473000000001,53.429216000000004,,
794,380.0,8.4078154,53.234633300000006,,
1360,220.0,8.348429000000001,53.253598000000004,,
1363,220.0,8.4100494,53.1904783,,
8056,380.0,8.5734945,52.105416000000005,,
15359,380.0,9.379917800000001,51.6425271,,
9886,380.0,9.411659100000001,52.0338756,,
7762,380.0,9.9162122,52.27779820000001,,
1625,380.0,10.192738,52.30246,,
17958,380.0,10.255629200000001,52.1704791,,
12008,220.0,10.4185318,52.238964300000006,,
1106,380.0,10.7589015,52.3672565,,
793,380.0,8.419326700000001,53.229867000000006,,
1358,220.0,8.055892700000001,53.3330123,,
40199,380.0,8.6306548,52.0858537,,
8058,380.0,8.656704600000001,52.000468700000006,,
1627,380.0,9.9181726,52.278157,,
1285,380.0,12.1894703,53.8158618,,
1975,380.0,12.189252300000001,53.8162073,,
1626,380.0,10.184643900000001,52.305265500000004,,
1280,380.0,12.607927,53.590965000000004,,
1974,380.0,12.211595,54.0978593,,
2754,220.0,13.134386600000001,53.9046219,,
11986,220.0,10.4194296,52.23591630000001,,
14253,380.0,10.7617697,52.3669791,,
18215,380.0,8.049677,53.334108500000006,,
798,380.0,8.6189522,53.0958089,,
4898,220.0,7.8849838000000005,52.276016600000005,,
10447,220.0,8.277592,52.2824029,,
2309,380.0,7.9831016,52.4575523,,
140,380.0,12.611577200000001,53.585551300000006,,
7876,220.0,12.1817747,53.8154964,,
10745,220.0,12.181703200000001,53.814971500000006,,
2753,220.0,13.142921900000001,53.9059092,,
35620,380.0,12.213671692980027,54.09974495119379,,
17960,380.0,10.1939598,52.078376600000006,,
11987,220.0,10.359056,52.17628800000001,,
14256,380.0,10.997336,52.202019,,
18220,380.0,8.0446503,53.340234800000005,,
10547,220.0,8.0892282,53.1358072,,
7625,220.0,8.0446503,53.340234800000005,,
10443,220.0,8.110140000000001,52.2621249,,
2318,380.0,7.840079,52.466876000000006,,
15235,380.0,8.660446700000001,51.995915200000006,,
15293,220.0,8.633293,52.002868400000004,,
13791,220.0,8.626564700000001,51.9061875,,
15316,380.0,8.6527799,52.003582300000005,,
11884,380.0,9.380514900000001,51.6409582,,
10000,220.0,9.380514900000001,51.6409582,,
11989,220.0,10.366268400000001,52.1667167,,
10700,220.0,9.855396200000001,51.650886,,
144,380.0,12.1103614,53.253140900000005,,
139,380.0,12.618699000000001,53.589086,,
7875,220.0,12.218664,54.112610000000004,,
10743,220.0,11.897813800000002,53.4085599,,
2085,380.0,7.892500600000001,52.279196500000005,,
19648,380.0,7.886372000000001,52.2779005,,
10444,220.0,8.1078009,52.263327000000004,,
10440,220.0,8.2116205,52.178618400000005,,
2090,380.0,7.8268604,52.4671439,,
14193,220.0,8.6601712,52.001467000000005,,
15236,380.0,8.6191669,51.910621400000004,,
15313,380.0,8.6341176,52.003284400000005,,
11885,380.0,9.3501741,51.6345862,,
9998,220.0,9.3501741,51.6345862,,
40350,380.0,12.851499102683423,53.74615360590291,,
145,380.0,13.134386600000001,53.9046219,,
39166,380.0,12.10909520506374,53.2508228590125,,
7874,220.0,12.218809,54.112981000000005,,
10742,220.0,11.896754000000001,53.4066344,,
2751,220.0,14.0340036,53.506407800000005,,
17962,380.0,10.124956000000001,52.020719,,
13973,380.0,10.999986,52.202131,,
18213,380.0,8.0085973,53.371590100000006,,
10545,220.0,8.079194000000001,52.859356000000005,,
7622,220.0,8.010921,53.374639,,
9999,220.0,9.582625400000001,51.3345118,,
19548,380.0,12.1064299,53.252065800000004,,
