substation,tso,lat,lon,address,found
Bruchsal/Kaendelweg,TRANSNETBW,49.1326385,8.5572802,"Bruchsal Kändelweg, Industriestraße, West II, Bruchsal, VVG der Stadt Bruchsal, Landkreis Karlsruhe, Baden-Württemberg, 76646, Deutschland",True
Brunsbuettel,TENNETGMBH,53.8972549,9.1395423,"Brunsbüttel, Kreis Dithmarschen, Schleswig-Holstein, 25541, Deutschland",True
Brunsbüttel,50HERTZ,53.8972549,9.1395423,"Brunsbüttel, Kreis Dithmarschen, Schleswig-Holstein, 25541, Deutschland",True
Buehl,TRANSNETBW,48.6945066,8.134423,"Bühl, VVG der Stadt Bühl, Landkreis Rastatt, Baden-Württemberg, 77815, Deutschland",True
Buenzwangen,TRANSNETBW,48.7035701,9.551447,"Bünzwangen, Ebersbach an der Fils, VVG der Stadt Ebersbach an der Fils, Landkreis Göppingen, Baden-Württemberg, Deutschland",True
Buers,TRANSNETBW,52.6736091,11.9849832,"Bürs, Arneburg, Arneburg-Goldbeck, Stendal, Sachsen-Anhalt, Deutschland",True
Buerstadt,AMPRION GMBH,49.6531823,8.4747076,"Bürstadt, Kreis Bergstraße, Hessen, 68642, Deutschland",True
Buescherhof,AMPRION GMBH,50.9091775,7.3263546,"Büscherhof, Növerhof, Much, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53804, Deutschland",True
Buettel,TENNETGMBH,53.899972,9.2284119,"Büttel, Amt Wilstermarsch, Kreis Steinburg, Schleswig-Holstein, Deutschland",True
Bärwalde,50HERTZ,51.4131254,14.5239419,"Bärwalde - Bjerwałd, Boxberg/O.L. - Hamor, Görlitz, Sachsen, 02943, Deutschland",True
Charlottenburg,50HERTZ,52.515747,13.3096834,"Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Deutschland",True
Cloppenburg/O,TENNETGMBH,52.8461339,8.0438783,"Cloppenburg, Landkreis Cloppenburg, Niedersachsen, 49661, Deutschland",True
Conneforde,TENNETGMBH,53.3257698,8.0577591,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland",True
Conneforde/O,TENNETGMBH,53.3257698,8.0577591,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland",True
DC Phillipsburg,TRANSNETBW,,,,False
Datteln,AMPRION GMBH,51.651468,7.3385906,"Datteln, Kreis Recklinghausen, Nordrhein-Westfalen, 45711, Deutschland",True
Dauersberg,AMPRION GMBH,50.7680882,7.8426923,"Dauersberg, Betzdorf, Betzdorf-Gebhardshain, Landkreis Altenkirchen (Westerwald), Rheinland-Pfalz, 57584, Deutschland",True
Daxlanden,AMPRION GMBH;TRANSNETBW,49.0014111,8.3386057,"Daxlanden, Karlsruhe, Baden-Württemberg, Deutschland",True
Dellmensingen,TRANSNETBW,48.3006653,9.9098326,"Dellmensingen, Erbach, Alb-Donau-Kreis, Baden-Württemberg, Deutschland",True
Dettingen,AMPRION GMBH,48.4368485,8.9343816,"Dettingen, Rottenburg am Neckar, VVG der Stadt Rottenburg am Neckar, Landkreis Tübingen, Baden-Württemberg, Deutschland",True
Diefflen,AMPRION GMBH,49.3785726,6.7527234,"Diefflen, Dillingen/Saar, Landkreis Saarlouis, Saarland, Deutschland",True
Diele,TENNETGMBH,53.1201491,7.3117171,"Diele, Weener, Landkreis Leer, Niedersachsen, Deutschland",True
Dillenburg,TENNETGMBH,50.75211,8.31573,"Dillenburg, Lahn-Dill-Kreis, Hessen, Deutschland",True
Dipperz,TENNETGMBH,50.5316185,9.8175609,"Dipperz, Landkreis Fulda, Hessen, 36160, Deutschland",True
Doernigheim,TENNETGMBH,50.1334166,8.8393158,"Dörnigheim, Maintal, Main-Kinzig-Kreis, Hessen, Deutschland",True
Doerpen/W,TENNETGMBH,52.966087,7.3289283,"Dörpen, Samtgemeinde Dörpen, Landkreis Emsland, Niedersachsen, Deutschland",True
Dollern,TENNETGMBH,53.537884,9.546498,"Dollern, Samtgemeinde Horneburg, Landkreis Stade, Niedersachsen, 21739, Deutschland",True
Dresden/Süd,50HERTZ,51.0160116,13.6710989,"Eisenhammeer Süd, 199, Tharandter Straße, Naußlitz, Dölzschen, Cotta, Dresden, Sachsen, 01187, Deutschland",True
Duelken,AMPRION GMBH,51.2570806,6.3380041,"Dülken, Heinz-Luhnen-Straße, Dülken, Viersen, Kreis Viersen, Nordrhein-Westfalen, 41751, Deutschland",True
Duennwald,AMPRION GMBH,51.0,7.038611,"Dünnwald, Mülheim, Köln, Nordrhein-Westfalen, Deutschland",True
Edelstahl,AMPRION GMBH,54.1023703,10.8124712,"Guttau Edelstahl - Yachttechnik - Maschinenbau, 20, Neustadt in Holstein, Kreis Ostholstein, Schleswig-Holstein, 23730, Deutschland",True
Eiberg,AMPRION GMBH,52.1331368,8.8495959,"Eiberg, Vlotho, Kreis Herford, Nordrhein-Westfalen, 32602, Deutschland",True
Eichstetten,TRANSNETBW,48.0938296,7.7314344,"Eichstetten am Kaiserstuhl, GVV Kaiserstuhl-Tuniberg, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79356, Deutschland",True
Eickum,TENNETGMBH,52.1060723,8.595972,"Eickum, Herford, Kreis Herford, Nordrhein-Westfalen, Deutschland",True
Eisenach,50HERTZ,50.9747134,10.3193565,"Eisenach, Wartburgkreis, Thüringen, 99817, Deutschland",True
