substation,tso,lat,lon,address,found
Kruen,TENNETGMBH,47.5061521,11.2787041,"Krün, Landkreis Garmisch-Partenkirchen, Bayern, Deutschland",True
Krümmel,50HERTZ,50.5353537,7.7217486,"Krümmel, Selters (Westerwald), Westerwaldkreis, Rheinland-Pfalz, Deutschland",True
Kuehmoos,TRANSNETBW,48.7556165,12.9236498,"Kühmoos, Aholming, Landkreis Deggendorf, Bayern, 94527, Deutschland",True
Kuehtai,TENNETGMBH,,,,False
Kummerfeld,TENNETGMBH,53.691612,9.7910352,"Kummerfeld, Pinnau, Kreis Pinneberg, Schleswig-Holstein, 25495, Deutschland",True
Kupferzell,TRANSNETBW,49.2276928,9.6902519,"Kupferzell, GVV Hohenloher Ebene, Hohenlohekreis, Baden-Württemberg, 74635, Deutschland",True
Kuppenheim,TRANSNETBW,48.8272323,8.2545743,"Kuppenheim, GVV Nachbarschaftsverband Bischweier-Kuppenheim, Landkreis Rastatt, Baden-Württemberg, 76456, Deutschland",True
Kusenhorst,AMPRION GMBH,51.7019118,7.0730368,"Kusenhorst, Dorstener Straße, Lippramsdorf, Haltern am See, Kreis Recklinghausen, Nordrhein-Westfalen, 45721, Deutschland",True
Lage,TENNETGMBH,51.9914084,8.7919583,"Lage, Kreis Lippe, Nordrhein-Westfalen, 32791, Deutschland",True
Laichingen,TRANSNETBW,48.4896773,9.6861474,"Laichingen, GVV Laichinger Alb, Alb-Donau-Kreis, Baden-Württemberg, 89150, Deutschland",True
Lambsheim,AMPRION GMBH,49.5103257,8.2861947,"Lambsheim, Lambsheim-Heßheim, Rhein-Pfalz-Kreis, Rheinland-Pfalz, 67245, Deutschland",True
Lamspringe,TENNETGMBH,51.9770668,9.9908949,"Lamspringe, Landkreis Hildesheim, Niedersachsen, 31195, Deutschland",True
Landesbergen,TENNETGMBH,52.5610203,9.1238142,"Landesbergen, Samtgemeinde Mittelweser, Landkreis Nienburg/Weser, Niedersachsen, 31628, Deutschland",True
Lauchstädt,50HERTZ,51.3874297,11.8679537,"Goethestadt Bad Lauchstädt, Saalekreis, Sachsen-Anhalt, 06246, Deutschland",True
Lechhausen,AMPRION GMBH,48.3811586,10.9161463,"Lechhausen, Augsburg, Bayern, Deutschland",True
Lehrte,TENNETGMBH,52.3749334,9.9748557,"Lehrte, Region Hannover, Niedersachsen, 31275, Deutschland",True
Leupolz,AMPRION GMBH,47.7366223,10.3530889,"Leupolz, Kempten (Allgäu), Bayern, 87437, Deutschland",True
Liessem,AMPRION GMBH,50.0245641,6.4806229,"Ließem, Bitburger Land, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, Deutschland",True
Limburg,AMPRION GMBH,50.3880447,8.063531,"Limburg an der Lahn, Landkreis Limburg-Weilburg, Hessen, Deutschland",True
Linde,AMPRION GMBH,51.0193536,7.3210573,"Linde, Lindlar, Oberbergischer Kreis, Nordrhein-Westfalen, Deutschland",True
Lippborg,AMPRION GMBH,51.665209,8.039436,"Lippborg, Lippetal, Kreis Soest, Nordrhein-Westfalen, 59510, Deutschland",True
Lippe,AMPRION GMBH,51.6711439,7.7165069,"Lippe, Nordrhein-Westfalen, Deutschland",True
Lubmin,50HERTZ,54.1318409,13.612798,"Lubmin, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland",True
Ludersheim,TENNETGMBH,49.3955803,11.32885,"Ludersheim, Altdorf bei Nürnberg, Landkreis Nürnberger Land, Bayern, 90518, Deutschland",True
Luebeck,TENNETGMBH,53.866444,10.684738,"Lübeck, Schleswig-Holstein, Deutschland",True
Lueneburg,TENNETGMBH,53.248706,10.407855,"Lüneburg, Landkreis Lüneburg, Niedersachsen, Deutschland",True
Luestringen,AMPRION GMBH,52.2679276,8.128252,"Lüstringen, Darum-Gretesch-Lüstringen, Osnabrück, Niedersachsen, 49086, Deutschland",True
Lüdershagen,50HERTZ,54.3062345,12.6096536,"Lüdershagen, Barth, Vorpommern-Rügen, Mecklenburg-Vorpommern, Deutschland",True
Maade,TENNETGMBH,53.5401606,8.0700492,"Maade, Wilhelmshaven, Wangerland, Landkreis Friesland, Niedersachsen, Deutschland",True
Malchow,50HERTZ,53.4775641,12.4245172,"Malchow, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17213, Deutschland",True
Marbach,TRANSNETBW,48.9402085,9.256396,"Marbach, Marbach am Neckar, GVV Marbach am Neckar, Landkreis Ludwigsburg, Baden-Württemberg, Deutschland",True
Marienberg,TENNETGMBH,50.6507279,13.163188,"Marienberg, Erzgebirgskreis, Sachsen, 09496, Deutschland",True
Marke,50HERTZ,51.7301547,12.2524587,"Marke, Raguhn-Jeßnitz, Anhalt-Bitterfeld, Sachsen-Anhalt, Deutschland",True
Marzahn,50HERTZ,52.5436548,13.5413545,"Marzahn, Wiesenburger Weg, Marzahn, Marzahn-Hellersdorf, Berlin, 12681, Deutschland",True
Maximiliansau,AMPRION GMBH,49.0344882,8.2869901,"Maximiliansau, Wörth am Rhein, Landkreis Germersheim, Rheinland-Pfalz, 76767, Deutschland",True
Mechlenreuth,TENNETGMBH,50.1718024,11.801791,"Mechlenreuth, Münchberg, Landkreis Hof, Bayern, 95213, Deutschland",True
Meckenheim,AMPRION GMBH,50.6256627,7.0215612,"Meckenheim, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53340, Deutschland",True
Mecklar,TENNETGMBH,50.9174645,9.7612468,"Mecklar, Ludwigsau, Landkreis Hersfeld-Rotenburg, Hessen, Deutschland",True
Mehringen,TENNETGMBH,51.7280341,11.5151205,"Mehringen, Aschersleben, Salzlandkreis, Sachsen-Anhalt, Deutschland",True
Mehrum,TENNETGMBH,51.5757486,6.6247822,"Mehrum, Voerde (Niederrhein), Kreis Wesel, Nordrhein-Westfalen, Deutschland",True
Mehrum/N,TENNETGMBH,51.5757486,6.6247822,"Mehrum, Voerde (Niederrhein), Kreis Wesel, Nordrhein-Westfalen, Deutschland",True
Meissen,TENNETGMBH,51.1630871,13.4704939,"Meißen, Sachsen, Deutschland",True
Meitingen,AMPRION GMBH,48.5455295,10.8523018,"Meitingen, Landkreis Augsburg, Bayern, 86405, Deutschland",True
Mengede,AMPRION GMBH,51.5748967,7.367002,"Mengede, Dortmund, Nordrhein-Westfalen, 44359, Deutschland",True
Meppen,AMPRION GMBH,52.6947452,7.2909824,"Meppen, Landkreis Emsland, Niedersachsen, Deutschland",True
Merzen,AMPRION GMBH,52.4776488,7.8307739,"Merzen, Samtgemeinde Neuenkirchen, Landkreis Osnabrück, Niedersachsen, 49586, Deutschland",True
Mettmann,AMPRION GMBH,51.2527778,6.9777778,"Mettmann, Kreis Mettmann, Nordrhein-Westfalen, 40822, Deutschland",True
Metzingen,TRANSNETBW,48.5397247,9.2831201,"Metzingen, VVG der Stadt Metzingen, Landkreis Reutlingen, Baden-Württemberg, 72555, Deutschland",True
Mitte,50HERTZ,52.5178855,13.4040601,"Mitte, Berlin, Deutschland",True
Mittelbexbach,AMPRION GMBH,49.3579678,7.2473777,"Bexbach, Saarpfalz-Kreis, Saarland, Deutschland",True
Muehlhausen,TRANSNETBW,51.2094255,10.4589044,"Mühlhausen/Thüringen, Unstrut-Hainich-Kreis, Thüringen, Deutschland",True
Muendelheim,AMPRION GMBH,51.3559457,6.6833322,"Mündelheim, Duisburg-Süd, Duisburg, Nordrhein-Westfalen, Deutschland",True
Muenster,AMPRION GMBH,51.9625101,7.6251879,"Münster, Nordrhein-Westfalen, Deutschland",True
Mutterstadt,AMPRION GMBH,49.4422445,8.3542306,"Mutterstadt, Rhein-Pfalz-Kreis, Rheinland-Pfalz, 67112, Deutschland",True
Neckarwestheim,TRANSNETBW,49.0474301,9.1892332,"Neckarwestheim, VVG der Stadt Lauffen am Neckar, Landkreis Heilbronn, Baden-Württemberg, 74382, Deutschland",True
Nehden,AMPRION GMBH,51.4360822,8.6369892,"Nehden, Brilon, Hochsauerlandkreis, Nordrhein-Westfalen, Deutschland",True
Neuenhagen,50HERTZ,53.7467873,13.1115253,"Neuenhagen, Altenhagen, Treptower Tollensewinkel, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, Deutschland",True
Neufinsing,TENNETGMBH,48.2210641,11.8042527,"Neufinsing, Finsing, Landkreis Erding, Bayern, 85464, Deutschland",True
Neurott,TRANSNETBW,49.363895,8.6226397,"Neurott, Kirchheim, Heidelberg, Baden-Württemberg, 69124, Deutschland",True
Niederlangen,TENNETGMBH,52.8572175,7.2805369,"Niederlangen, Samtgemeinde Lathen, Landkreis Emsland, Niedersachsen, 49779, Deutschland",True
Niederrhein,AMPRION GMBH,51.4013466,6.5096405,"Niederrhein, Nordrhein-Westfalen, Deutschland",True
Niederstedem,AMPRION GMBH,49.9302779,6.4986224,"Niederstedem, Bitburger Land, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, Deutschland",True
Niederstotzingen,TRANSNETBW,48.5408791,10.2332512,"Niederstotzingen, GVV Sontheim-Niederstotzingen, Landkreis Heidenheim, Baden-Württemberg, 89168, Deutschland",True
Niedervieland,TENNETGMBH,53.0993344,8.7018135,"Niedervieland, Seehausen, Bremen-Süd, Bremen, 28197, Deutschland",True
Nordlicht,AMPRION GMBH,53.6884546,9.9819739,"Nordlicht, Gewerbegebiet Kohfurth, Norderstedt, Kreis Segeberg, Schleswig-Holstein, 22850, Deutschland",True
Norf,AMPRION GMBH,51.1601708,6.7319654,"Norf, Mainstraße, Derikum, Norf, Neuss, Rhein-Kreis Neuss, Nordrhein-Westfalen, 41469, Deutschland",True
Oberbachern,TENNETGMBH,48.2820287,11.3686997,"Oberbachern, Bergkirchen, Landkreis Dachau, Bayern, 85232, Deutschland",True
Oberbrunn,TENNETGMBH,50.0655023,10.9425702,"Oberbrunn, Ebensfeld, Landkreis Lichtenfels, Bayern, 96250, Deutschland",True
Oberhaid,TENNETGMBH,50.5081833,7.7203453,"Oberhaid, Ransbach-Baumbach, Westerwaldkreis, Rheinland-Pfalz, Deutschland",True
Oberjettingen,TRANSNETBW,48.575961,8.7743305,"Oberjettingen, Jettingen, GVV Oberes Gäu, Landkreis Böblingen, Baden-Württemberg, 71131, Deutschland",True
Obermooweiler,TRANSNETBW,47.6531193,9.8063126,"Obermooweiler, Niederwangen, Wangen im Allgäu, VVG der Stadt Wangen im Allgäu, Landkreis Ravensburg, Baden-Württemberg, 88239, Deutschland",True
Oberottmarshausen,AMPRION GMBH,48.2382121,10.8570182,"Oberottmarshausen, Großaitingen, Landkreis Augsburg, Bayern, 86507, Deutschland",True
Oberwald,TRANSNETBW,50.4849084,9.3097388,"Oberwald, Grebenhain, Vogelsbergkreis, Hessen, 36355, Deutschland",True
Oberzier,AMPRION GMBH,50.8658407,6.4738745,"Oberzier, Niederzier, Kreis Düren, Nordrhein-Westfalen, 52382, Deutschland",True
Oechtel,AMPRION GMBH,52.3281428,7.2963803,"Öchtel, Salzbergen, Landkreis Emsland, Niedersachsen, 48499, Deutschland",True
Ohlensehlen,TENNETGMBH,52.5556397,8.9084552,"Woltringhausen, Ohlensehlen, Woltringhausen, Uchte, Samtgemeinde Uchte, Landkreis Nienburg/Weser, Niedersachsen, 31600, Deutschland",True
Ohligs,AMPRION GMBH,51.1611221,7.004223,"Solingen Hauptbahnhof, Bahnhofstunnel, Nassenweg, Ohligs/Aufderhöhe/Merscheid, Solingen, Nordrhein-Westfalen, 42697, Deutschland",True
Opladen,AMPRION GMBH,51.0657432,7.0088448,"Opladen, Europa-Allee, Opladen, Stadtbezirk II, Leverkusen, Nordrhein-Westfalen, 51379, Deutschland",True
Osburg,AMPRION GMBH,49.7151789,6.7912147,"Osburg, Ruwer, Landkreis Trier-Saarburg, Rheinland-Pfalz, Deutschland",True
Ossenberg,AMPRION GMBH,51.5704933,6.5837689,"Ossenberg, Rheinberg, Kreis Wesel, Nordrhein-Westfalen, 47495, Deutschland",True
Osterath,AMPRION GMBH,51.2690922,6.6207151,"Osterath, Meerbusch, Rhein-Kreis Neuss, Nordrhein-Westfalen, 40670, Deutschland",True
Ottenhofen,TENNETGMBH,48.2157282,11.8799783,"Ottenhofen, Oberneuching (VGem), Landkreis Erding, Bayern, Deutschland",True
Otterbach,AMPRION GMBH,49.4859015,7.736859,"Otterbach, Otterbach-Otterberg, Landkreis Kaiserslautern, Rheinland-Pfalz, 67731, Deutschland",True
Ovenstaedt,TENNETGMBH,52.4174489,8.9740823,"Ovenstädt, Petershagen, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32469, Deutschland",True
Paffendorf,AMPRION GMBH,50.9628278,6.6087615,"Paffendorf, Bergheim, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50126, Deutschland",True
Parchim/Süd,50HERTZ,,,,False
Pasewalk,50HERTZ,53.5053677,13.9889049,"Pasewalk, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17309, Deutschland",True
Perleberg,50HERTZ,53.075548,11.8212016,"Perleberg, Prignitz, Brandenburg, 19348, Deutschland",True
Perleberg - Putlitz,50HERTZ,53.2925503,12.0463019,"Historischer Stadtkern Perleberg, A 24, Nettelbeck, Porep, Putlitz, Putlitz-Berge, Prignitz, Brandenburg, 16949, Deutschland",True
Pfalzdorf,AMPRION GMBH,51.7037652,6.1583148,"Pfalzdorf, Goch, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 47574, Deutschland",True
Pfungstadt,AMPRION GMBH,49.7943,8.5877,"Pfungstadt, Landkreis Darmstadt-Dieburg, Hessen, 64319, Deutschland",True
Philippsburg,TRANSNETBW,49.2367495,8.4546679,"Philippsburg, GVV Philippsburg, Landkreis Karlsruhe, Baden-Württemberg, 76661, Deutschland",True
Pirach,TENNETGMBH,48.1470964,12.7588076,"Pirach, Burgkirchen an der Alz, Landkreis Altötting, Bayern, Deutschland",True
Plattling,TENNETGMBH,48.7766852,12.8733655,"Plattling, Landkreis Deggendorf, Bayern, 94447, Deutschland",True
Pleinting,TENNETGMBH,48.6604745,13.119804,"Pleinting, Vilshofen an der Donau, Landkreis Passau, Bayern, 94544, Deutschland",True
Poeppinghausen,AMPRION GMBH,51.5787104,7.265259,"Pöppinghausen, Castrop-Rauxel, Kreis Recklinghausen, Nordrhein-Westfalen, Deutschland",True
Preilack,50HERTZ,51.8839607,14.4161789,"Preilack - Pśiłuk, Turnow-Preilack, Peitz/Picnjo, Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03185, Deutschland",True
Pulgar,50HERTZ,51.1885941,12.3517288,"Pulgar, Industriestandort Böhlen-Lippendorf, Neukieritzsch, Landkreis Leipzig, Sachsen, 04564, Deutschland",True
Pulverdingen,TRANSNETBW,48.9059231,9.0236034,"Pulverdingen, Enzweihingen, Vaihingen an der Enz, VVG der Stadt Vaihingen an der Enz, Landkreis Ludwigsburg, Baden-Württemberg, Deutschland",True
Putlitz/Süd,50HERTZ,,,,False
Quint,AMPRION GMBH,49.8234919,6.7059007,"Quint, Ehrang-Quint, Trier, Trierweiler, Rheinland-Pfalz, Deutschland",True
RDK7,TRANSNETBW,,,,False
RDK8,TRANSNETBW,,,,False
Ragow,50HERTZ,51.8862135,13.9010632,"Ragow, Lübbenau/Spreewald, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, Deutschland",True
Raitersaich,TENNETGMBH,49.3729799,10.8446391,"Raitersaich, Roßtal, Landkreis Fürth, Bayern, Deutschland",True
Rath,AMPRION GMBH,51.0066638,6.6337969,"Rath, Bedburg, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50181, Deutschland",True
Ratsbusch,AMPRION GMBH,51.5355347,7.5029146,"Ratsbusch, 160, Springorumstraße, ThyssenKrupp Werksgelände (Westfalenhütte), Innenstadt Nord, Dortmund, Nordrhein-Westfalen, 44145, Deutschland",True
Redwitz,TENNETGMBH,50.1691696,11.2084632,"Redwitz(Rodach), B 173, Obristfeld, Redwitz a.d.Rodach, Redwitz an der Rodach (VGem), Landkreis Lichtenfels, Bayern, 96257, Deutschland",True
Regensburg,TENNETGMBH,49.0195333,12.0974869,"Regensburg, Bayern, Deutschland",True
Remptendorf,50HERTZ,50.5290352,11.6595527,"Remptendorf, Saale-Orla-Kreis, Thüringen, 07368, Deutschland",True
Remptendorf - Großschwabhausen,50HERTZ,,,,False
Reuter,50HERTZ,50.8867609,10.3769058,"Reuter, Ruhla, Wartburgkreis, Thüringen, 99842, Deutschland",True
Rhede,TENNETGMBH,51.8363135,6.696091,"Rhede, Kreis Borken, Nordrhein-Westfalen, 46414, Deutschland",True
Rheinau,AMPRION GMBH,48.6610699,7.9383334,"Rheinau, Ortenaukreis, Baden-Württemberg, 77866, Deutschland",True
Rheinhausen,AMPRION GMBH,48.2338362,7.7144924,"Rheinhausen, GVV Kenzingen-Herbolzheim, Landkreis Emmendingen, Baden-Württemberg, 79365, Deutschland",True
Ried,AMPRION GMBH,48.2902063,11.0425791,"Ried, Landkreis Aichach-Friedberg, Bayern, 86510, Deutschland",True
Rommersheim,AMPRION GMBH,50.1936797,6.4446925,"Rommersheim, Prüm, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, Deutschland",True
Rommerskirchen,AMPRION GMBH,51.0633574,6.6978814,"Rommerskirchen, Rhein-Kreis Neuss, Nordrhein-Westfalen, 41569, Deutschland",True
Rosenblumendelle,AMPRION GMBH,51.4372781,6.9416005,"Blumendeller Straße, Heißen, Rechtsruhr-Süd, Mülheim an der Ruhr, Nordrhein-Westfalen, 45472, Deutschland",True
Rotensohl,TRANSNETBW,48.7426231,10.2075879,"Rotensohl, Großkuchen, Heidenheim an der Brenz, VVG der Stadt Heidenheim an der Brenz, Landkreis Heidenheim, Baden-Württemberg, Deutschland",True
Roxel,AMPRION GMBH,51.9549064,7.533159,"Roxel, Münster-West, Münster, Nordrhein-Westfalen, Deutschland",True
Ruhrzink,AMPRION GMBH,,,,False
Röhrsdorf,50HERTZ,50.8635926,12.8453055,"Röhrsdorf, Chemnitz, Sachsen, 09247, Deutschland",True
Saarwellingen,AMPRION GMBH,49.3527139,6.8063014,"Saarwellingen, Landkreis Saarlouis, Saarland, 66793, Deutschland",True
Sandershausen/O,TENNETGMBH,51.3210551,9.5520461,"Sandershausen, Niestetal, Landkreis Kassel, Hessen, Deutschland",True
Schmölln,50HERTZ,50.8971549,12.3520022,"Schmölln, Altenburger Land, Thüringen, 04626, Deutschland",True
Schuby/W,TENNETGMBH,54.5158197,9.4800114,"Schuby, Arensharde, Kreis Schleswig-Flensburg, Schleswig-Holstein, 24850, Deutschland",True
Schwandorf,TENNETGMBH,49.3261854,12.1092708,"Schwandorf, Landkreis Schwandorf, Bayern, 92421, Deutschland",True
Schwelgern,AMPRION GMBH,51.5076091,6.737642,"Schwelgern, ThyssenKrupp Steel Europe AG, Hamborn, Duisburg, Nordrhein-Westfalen, 47169, Deutschland",True
Schwoerstadt,TRANSNETBW,47.5922842,7.8738189,"Schwörstadt, VVG der Stadt Rheinfelden (Baden), Landkreis Lörrach, Baden-Württemberg, 79739, Deutschland",True
Schönewalde,50HERTZ,51.8142338,13.2279131,"Schönewalde, Elbe-Elster, Brandenburg, Deutschland",True
Sechtem,AMPRION GMBH,50.7891059,6.950769,"Sechtem, Bornheim, Rhein-Sieg-Kreis, Nordrhein-Westfalen, Deutschland",True
Selbeck,AMPRION GMBH,51.3681608,6.8623701,"Selbeck, Saarn, Linksruhr, Mülheim an der Ruhr, Nordrhein-Westfalen, 45481, Deutschland",True
Setzer Wiese,AMPRION GMBH,,,,False
Siedenbrünzow,50HERTZ,53.8971143,13.1462242,"Siedenbrünzow, Demmin-Land, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, Deutschland",True
Siegburg,AMPRION GMBH,50.7928332,7.2070774,"Siegburg, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53721, Deutschland",True
Siems,TENNETGMBH,53.9051786,10.7752845,"Siems, Dänischburg / Siems / Rangenberg / Wallberg, Kücknitz, Lübeck, Schleswig-Holstein, 23569, Deutschland",True
Siersdorf,AMPRION GMBH,50.8982624,6.2267319,"Siersdorf, Aldenhoven, Kreis Düren, Nordrhein-Westfalen, Deutschland",True
Silz,TENNETGMBH,53.5202915,12.4410713,"Silz, Malchow, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, Deutschland",True
Simbach,TENNETGMBH,48.2663113,13.0279972,"Simbach, Landkreis Rottal-Inn, Bayern, 84359, Deutschland",True
Sittling,TENNETGMBH,48.8335534,11.772554,"Sittling, Neustadt an der Donau, Landkreis Kelheim, Bayern, 93333, Deutschland",True
Sottrum,TENNETGMBH,53.1161752,9.2354374,"Sottrum, Samtgemeinde Sottrum, Landkreis Rotenburg (Wümme), Niedersachsen, Deutschland",True
Spellen,AMPRION GMBH,51.6104512,6.6141015,"Spellen, Voerde (Niederrhein), Kreis Wesel, Nordrhein-Westfalen, Deutschland",True
St. Barbara,AMPRION GMBH,49.3289173,6.6893293,"St. Barbara, Wallerfangen, Landkreis Saarlouis, Saarland, Deutschland",True
St. Huelfe,AMPRION GMBH,52.621888,8.3987005,"Sankt Hülfe, Diepholz, Landkreis Diepholz, Niedersachsen, Deutschland",True
St. Peter,AMPRION GMBH,48.01786,8.0358335,"St. Peter, GVV St. Peter, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79271, Deutschland",True
Stade/W,TENNETGMBH,48.1419939,11.6415693,"Stadeweg, Zamilapark, Zamdorf, Bogenhausen, München, Bayern, 81929, Deutschland",True
Stadorf,TENNETGMBH,52.9919338,10.3956338,"Stadorf, Schwienau, Samtgemeinde Bevensen-Ebstorf, Landkreis Uelzen, Niedersachsen, 29593, Deutschland",True
Stalldorf,TRANSNETBW,49.5658744,9.9371209,"Stalldorf, Riedenheim, Verwaltungsgemeinschaft Röttingen, Landkreis Würzburg, Bayern, 97283, Deutschland",True
Stendal/West,50HERTZ,52.5900753,11.8424738,"Pfarrbereich Stendal, Süd-West, 4, Schulstraße, Röxe, Stendal, Sachsen-Anhalt, 39576, Deutschland",True
Stockach,TRANSNETBW,47.8530941,9.0134524,"Stockach, VVG der Stadt Stockach, Landkreis Konstanz, Baden-Württemberg, 78333, Deutschland",True
Stockem,AMPRION GMBH,49.9284859,6.3842025,"Stockem, Bitburger Land, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, Deutschland",True
Streumen,50HERTZ,51.3582767,13.4054041,"Streumen, Wülknitz, Röderaue-Wülknitz, Meißen, Sachsen, Deutschland",True
Suederdonn,TENNETGMBH,53.97502,9.1169356,"Süderdonn, Sankt Michaelisdonn, Burg-Sankt Michaelisdonn, Kreis Dithmarschen, Schleswig-Holstein, 25693, Deutschland",True
Teufelsbruch,50HERTZ,52.5796581,13.1998458,"Teufelsbruch, Hakenfelde, Spandau, Berlin, 13587, Deutschland",True
Thyrow,50HERTZ,52.2514309,13.2396499,"Thyrow, Trebbin, Teltow-Fläming, Brandenburg, Deutschland",True
Tiengen,AMPRION GMBH,47.9842416,7.7153083,"Tiengen, Freiburg im Breisgau, Baden-Württemberg, Deutschland",True
Trennfeld,TENNETGMBH,49.8035665,9.6030688,"Trennfeld, Lengfurt, Triefenstein, Landkreis Main-Spessart, Bayern, 97855, Deutschland",True
Trossingen,TRANSNETBW,48.07506,8.6362987,"Trossingen, VVG der Stadt Trossingen, Landkreis Tuttlingen, Baden-Württemberg, 78647, Deutschland",True
Twistetal,TENNETGMBH,51.321351,8.9607277,"Twistetal, Landkreis Waldeck-Frankenberg, Hessen, 34477, Deutschland",True
Uchtelfangen,AMPRION GMBH,49.3788373,7.0194399,"Uchtelfangen, Illingen, Landkreis Neunkirchen, Saarland, Deutschland",True
Uentrop,AMPRION GMBH,51.6926159,7.940585,"Uentrop, Hamm, Nordrhein-Westfalen, Deutschland",True
Uerdingen,AMPRION GMBH,51.3563656,6.6495971,"Uerdingen, Krefeld-Uerdingen, Krefeld, Nordrhein-Westfalen, 47829, Deutschland",True
Unna,AMPRION GMBH,51.5348835,7.689014,"Unna, Kreis Unna, Nordrhein-Westfalen, Deutschland",True
Unterweser,TENNETGMBH,53.3256109,8.4806296,"Brake, Landkreis Wesermarsch, Niedersachsen, 26919, Deutschland",True
Urberach,AMPRION GMBH,49.973352,8.7981281,"Urberach, Bulau, Rödermark, Landkreis Offenbach, Hessen, Deutschland",True
Urberach (NEU),AMPRION GMBH,,,,False
Utfort,AMPRION GMBH,51.4748613,6.6257208,"Utfort, Rheinkamp, Moers, Kreis Wesel, Nordrhein-Westfalen, 47445, Deutschland",True
Veltheim,TENNETGMBH,52.2181829,10.6825692,"Veltheim, Samtgemeinde Sickte, Landkreis Wolfenbüttel, Niedersachsen, Deutschland",True
Vierraden,50HERTZ,53.0978481,14.29611,"Vierraden, Schwedt/Oder, Uckermark, Brandenburg, Deutschland",True
Vieselbach,50HERTZ,50.9974944,11.1460437,"Vieselbach, Erfurt, Thüringen, Deutschland",True
Villingen,TRANSNETBW,48.0596619,8.4598995,"Villingen, Villingen-Schwenningen, VVG der Stadt Villingen-Schwenningen, Schwarzwald-Baar-Kreis, Baden-Württemberg, Deutschland",True
Voehringen,AMPRION GMBH,48.2833039,10.0832982,"Vöhringen, Landkreis Neu-Ulm, Bayern, 89269, Deutschland",True
Voerden,TENNETGMBH,52.4784717,8.096003,"Vörden, Neuenkirchen-Vörden, Landkreis Vechta, Niedersachsen, 49434, Deutschland",True
Voslapp,TENNETGMBH,53.5871884,8.102887,"Voslapp, Wilhelmshaven, Niedersachsen, Deutschland",True
Wahle,TENNETGMBH,52.2717618,10.3634402,"Wahle, Vechelde, Landkreis Peine, Niedersachsen, 38159, Deutschland",True
Waldeck,TENNETGMBH,50.9113768,11.7820125,"Waldeck, Bad Klosterlausnitz, Saale-Holzland-Kreis, Thüringen, Deutschland",True
Waldlaubersheim,AMPRION GMBH,49.9285787,7.833602,"Waldlaubersheim, Langenlonsheim-Stromberg, Landkreis Bad Kreuznach, Rheinland-Pfalz, Deutschland",True
Walsum,AMPRION GMBH,51.5351625,6.7166676,"Walsum, Duisburg, Nordrhein-Westfalen, Deutschland",True
Wambel,AMPRION GMBH,51.5204477,7.5205435,"Wambel, Brackel, Dortmund, Nordrhein-Westfalen, Deutschland",True
Wechold,TENNETGMBH,52.8480963,9.1263681,"Wechold, Hilgermissen, Samtgemeinde Grafschaft Hoya, Landkreis Nienburg/Weser, Niedersachsen, Deutschland",True
Wehrendorf,AMPRION GMBH,52.3322323,8.3132774,"Wehrendorf, Bad Essen, Landkreis Osnabrück, Niedersachsen, 49163, Deutschland",True
Weida,50HERTZ,50.7581426,12.0470063,"Weida, Greiz, Thüringen, 07570, Deutschland",True
Weier,TRANSNETBW,51.0375352,7.2713731,"Weier, Waldmühle, Kürten, Rheinisch-Bergischer Kreis, Nordrhein-Westfalen, 51515, Deutschland",True
Weingarten,AMPRION GMBH,47.8075299,9.6431145,"Weingarten, GVV Mittleres Schussental, Landkreis Ravensburg, Baden-Württemberg, 88250, Deutschland",True
Weinheim,TRANSNETBW,49.5462349,8.6717458,"Weinheim, Rhein-Neckar-Kreis, Baden-Württemberg, 69469, Deutschland",True
Weissenthurm,AMPRION GMBH,50.4145192,7.4557539,"Weißenthurm, Landkreis Mayen-Koblenz, Rheinland-Pfalz, 56575, Deutschland",True
Welper,AMPRION GMBH,51.4108972,7.2077948,"Welper, Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45527, Deutschland",True
Wendlingen,TRANSNETBW,48.6727602,9.3838404,"Wendlingen, Wendlingen am Neckar, GVV Wendlingen am Neckar, Landkreis Esslingen, Baden-Württemberg, 73240, Deutschland",True
Wengerrohr,AMPRION GMBH,,,,False
Wessin,50HERTZ,53.5725896,11.7316711,"Wessin, Crivitz, Ludwigslust-Parchim, Mecklenburg-Vorpommern, Deutschland",True
