substation_name,tso
Kupferzell,TRANSNETBW
Kuppenheim,TRANSNETBW
Kusenhorst,AMPRION GMBH
Lage,TENNETGMBH
Laichingen,TRANSNETBW
Lambsheim,AMPRION GMBH
Lamspringe,TENNETGMBH
Landesbergen,TENNETGMBH
Lauchstädt,50HERTZ
Lechhausen,AMPRION GMBH
Lehrte,TENNETGMBH
Leupolz,AMPRION GMBH
Liessem,AMPRION GMBH
Limburg,AMPRION GMBH
Linde,AMPRION GMBH
Lippborg,AMPRION GMBH
Lippe,AMPRION GMBH
Lubmin,50HERTZ
Ludersheim,TENNETGMBH
Luebeck,TENNETGMBH
Lueneburg,TENNETGMBH
Luestringen,AMPRION GMBH
Lüdershagen,50HERTZ
Maade,TENNETGMBH
Malchow,50HERTZ
Marbach,TRANSNETBW
Marienberg,TENNETGMBH
Marke,50HERTZ
Marzahn,50HERTZ
Maximiliansau,AMPRION GMBH
Mechlenreuth,TENNETGMBH
Meckenheim,AMPRION GMBH
Mecklar,TENNETGMBH
Mehringen,TENNETGMBH
Mehrum,TENNETGMBH
Mehrum/N,TENNETGMBH
Meissen,TENNETGMBH
Meitingen,AMPRION GMBH
Mengede,AMPRION GMBH
Meppen,AMPRION GMBH
Merzen,AMPRION GMBH
Mettmann,AMPRION GMBH
Metzingen,TRANSNETBW
Mitte,50HERTZ
Mittelbexbach,AMPRION GMBH
Muehlhausen,TRANSNETBW
Muendelheim,AMPRION GMBH
Muenster,AMPRION GMBH
Mutterstadt,AMPRION GMBH
Neckarwestheim,TRANSNETBW
Nehden,AMPRION GMBH
Neuenhagen,50HERTZ
Neufinsing,TENNETGMBH
Neurott,TRANSNETBW
Niederlangen,TENNETGMBH
Niederrhein,AMPRION GMBH
Niederstedem,AMPRION GMBH
Niederstotzingen,TRANSNETBW
Niedervieland,TENNETGMBH
Nordlicht,AMPRION GMBH
Norf,AMPRION GMBH
Oberbachern,TENNETGMBH
Oberbrunn,TENNETGMBH
Oberhaid,TENNETGMBH
Oberjettingen,TRANSNETBW
Obermooweiler,TRANSNETBW
Oberottmarshausen,AMPRION GMBH
Oberwald,TRANSNETBW
Oberzier,AMPRION GMBH
Oechtel,AMPRION GMBH
Ohlensehlen,TENNETGMBH
Ohligs,AMPRION GMBH
Opladen,AMPRION GMBH
Osburg,AMPRION GMBH
Ossenberg,AMPRION GMBH
Osterath,AMPRION GMBH
Ottenhofen,TENNETGMBH
Otterbach,AMPRION GMBH
Ovenstaedt,TENNETGMBH
Paffendorf,AMPRION GMBH
Parchim/Süd,50HERTZ
Pasewalk,50HERTZ
Perleberg,50HERTZ
Perleberg - Putlitz,50HERTZ
Pfalzdorf,AMPRION GMBH
Pfungstadt,AMPRION GMBH
Philippsburg,TRANSNETBW
Pirach,TENNETGMBH
Plattling,TENNETGMBH
Pleinting,TENNETGMBH
Poeppinghausen,AMPRION GMBH
Preilack,50HERTZ
Pulgar,50HERTZ
Pulverdingen,TRANSNETBW
Putlitz/Süd,50HERTZ
Quint,AMPRION GMBH
RDK7,TRANSNETBW
RDK8,TRANSNETBW
Ragow,50HERTZ
Raitersaich,TENNETGMBH
Rath,AMPRION GMBH
Ratsbusch,AMPRION GMBH
Redwitz,TENNETGMBH
Regensburg,TENNETGMBH
Remptendorf,50HERTZ
Remptendorf - Großschwabhausen,50HERTZ
Reuter,50HERTZ
Rhede,TENNETGMBH
Rheinau,AMPRION GMBH
Rheinhausen,AMPRION GMBH
Ried,AMPRION GMBH
Rommersheim,AMPRION GMBH
Rommerskirchen,AMPRION GMBH
Rosenblumendelle,AMPRION GMBH
Rotensohl,TRANSNETBW
Roxel,AMPRION GMBH
Ruhrzink,AMPRION GMBH
Röhrsdorf,50HERTZ
Saarwellingen,AMPRION GMBH
Sandershausen/O,TENNETGMBH
Schmölln,50HERTZ
Schuby/W,TENNETGMBH
Schwandorf,TENNETGMBH
Schwelgern,AMPRION GMBH
Schwoerstadt,TRANSNETBW
Schönewalde,50HERTZ
Sechtem,AMPRION GMBH
Selbeck,AMPRION GMBH
Setzer Wiese,AMPRION GMBH
Siedenbrünzow,50HERTZ
Siegburg,AMPRION GMBH
Siems,TENNETGMBH
Siersdorf,AMPRION GMBH
Silz,TENNETGMBH
Simbach,TENNETGMBH
Sittling,TENNETGMBH
Sottrum,TENNETGMBH
Spellen,AMPRION GMBH
St. Barbara,AMPRION GMBH
St. Huelfe,AMPRION GMBH
St. Peter,AMPRION GMBH
Stade/W,TENNETGMBH
Stadorf,TENNETGMBH
Stalldorf,TRANSNETBW
Stendal/West,50HERTZ
Stockach,TRANSNETBW
Stockem,AMPRION GMBH
Streumen,50HERTZ
Suederdonn,TENNETGMBH
Teufelsbruch,50HERTZ
Thyrow,50HERTZ
Tiengen,AMPRION GMBH
Trennfeld,TENNETGMBH
Trossingen,TRANSNETBW
Twistetal,TENNETGMBH
Uchtelfangen,AMPRION GMBH
Uentrop,AMPRION GMBH
Uerdingen,AMPRION GMBH
Unna,AMPRION GMBH
Unterweser,TENNETGMBH
Urberach,AMPRION GMBH
Urberach (NEU),AMPRION GMBH
Utfort,AMPRION GMBH
Veltheim,TENNETGMBH
Vierraden,50HERTZ
Vieselbach,50HERTZ
Villingen,TRANSNETBW
Voehringen,AMPRION GMBH
