trafo_id,bus0,bus1,s_nom,type,tap_ratio,phase_shift,num_parallel
30986,39210,39211,520,"",1,0,1
30987,39211,39212,520,"",1,0,1
30988,35805,35806,2600,"",1,0,1
30989,36218,36219,520,"",1,0,1
30990,36219,36220,520,"",1,0,1
30991,35158,35159,3640,"",1,0,1
30992,35385,35386,2600,"",1,0,1
30993,35386,35387,2600,"",1,0,1
30994,39294,39295,1580,"",1,0,1
30995,35558,35559,1040,"",1,0,1
30996,35559,35560,1040,"",1,0,1
30997,34923,34924,2600,"",1,0,1
30998,37825,37826,1040,"",1,0,1
30999,37826,37827,1040,"",1,0,1
31000,36316,36317,1040,"",1,0,1
31001,36632,36633,2080,"",1,0,1
31002,36296,36297,1580,"",1,0,1
31003,36297,36298,1790,"",1,0,1
31004,35765,35766,1560,"",1,0,1
31005,38365,38366,1790,"",1,0,1
31006,36672,36673,1040,"",1,0,1
31007,35540,35541,1560,"",1,0,1
31008,35541,35542,1560,"",1,0,1
31009,35103,35104,1300,"",1,0,1
31010,36809,36810,520,"",1,0,1
31011,34768,34769,3640,"",1,0,1
31012,34769,34770,3640,"",1,0,1
31013,36404,36405,1820,"",1,0,1
31014,37218,37219,2080,"",1,0,1
31015,34861,34862,10740,"",1,0,1
31016,39278,39279,520,"",1,0,1
31017,36365,36366,520,"",1,0,1
31018,34931,34932,1790,"",1,0,1
31019,39325,39326,2080,"",1,0,1
31020,34971,34972,520,"",1,0,1
31021,35182,35183,520,"",1,0,1
31022,35895,35896,2600,"",1,0,1
31023,35896,35897,1790,"",1,0,1
31024,37281,37282,520,"",1,0,1
31025,34986,34987,3120,"",1,0,1
31026,34791,34792,520,"",1,0,1
31027,35174,35175,2600,"",1,0,1
31028,39244,39245,780,"",1,0,1
31029,39245,39246,3120,"",1,0,1
31030,35803,35804,1060,"",1,0,1
31031,39280,39281,3380,"",1,0,1
31032,34908,34909,3120,"",1,0,1
31033,34842,34843,1820,"",1,0,1
31034,34843,34844,2080,"",1,0,1
31035,35204,35205,1560,"",1,0,1
31036,38587,38588,260,"",1,0,1
31037,36390,36391,520,"",1,0,1
31038,38898,38899,1040,"",1,0,1
31039,36904,36905,1040,"",1,0,1
31040,37652,37653,2080,"",1,0,1
31041,34975,34976,1560,"",1,0,1
31042,38021,38022,520,"",1,0,1
31043,35227,35228,800,"",1,0,1
31044,35228,35229,3580,"",1,0,1
31045,35206,35207,2880,"",1,0,1
31046,37949,37950,2900,"",1,0,1
