line_id,bus0,bus1,v_nom,parallel_count
743,34809,35328,110,2
744,36515,2173,110,2
745,2184,37382,110,3
747,2188,35385,110,4
748,37852,2191,110,2
749,2188,2189,110,4
750,2192,2189,110,5
751,2191,2192,110,3
752,2194,36957,110,2
765,39213,35228,220,3
767,2194,36956,110,2
768,1881,2194,110,2
769,35085,2211,110,3
772,2211,2207,110,4
773,2206,34827,110,2
780,2212,2213,110,2
781,2061,2212,110,2
784,2213,34804,110,2
785,2223,35693,110,2
786,2226,2223,110,4
787,39310,2226,110,4
797,35385,37400,110,2
798,2244,2245,110,2
799,2245,35276,110,4
800,34928,2244,110,2
804,37573,2245,110,4
806,2252,35328,110,2
809,2063,34838,110,2
811,2254,35743,110,2
812,2264,34810,220,8
813,35056,2272,220,4
814,2265,2262,220,4
815,2262,35056,220,4
816,2273,2274,220,2
820,2264,2265,220,4
821,34810,2264,220,8
822,2274,35691,220,3
823,2272,2273,220,4
824,38741,2278,110,2
825,2277,2278,110,2
826,2278,35696,110,2
827,34893,2277,110,4
829,34768,2289,110,3
830,2289,2283,110,4
831,2283,35582,110,2
832,2283,34777,110,2
838,2331,35085,110,2
839,34809,2296,110,2
840,2299,36948,110,2
841,2303,2299,110,2
842,2303,2304,110,2
843,35744,2300,110,2
844,2296,2304,110,2
845,2300,2296,110,2
846,38400,36948,110,2
849,35714,2309,380,2
850,2090,2309,380,2
860,689,687,110,2
861,34893,689,110,4
863,687,685,110,2
865,35081,2327,110,3
866,35081,2331,110,4
871,2337,2338,220,2
873,35332,2341,220,2
874,2341,39105,220,2
882,2341,2335,220,2
890,38883,432,110,2
892,425,39510,110,2
894,35529,425,110,2
895,2348,2349,110,2
896,36124,2355,110,2
897,2364,2363,110,2
898,2362,2352,110,2
899,2355,2348,110,2
912,2364,2360,110,2
943,5181,5182,110,2
966,2362,36128,110,2
967,2352,2350,110,4
968,38280,38544,110,2
970,2396,2397,380,2
971,2363,2351,110,4
972,2350,2351,110,4
973,2360,2361,110,2
974,2361,2349,110,2
978,649,648,110,2
979,649,650,110,2
980,650,651,110,4
982,651,34979,110,4
983,34851,648,110,2
984,1707,35898,110,2
985,651,34979,110,4
989,34757,34760,220,4
992,2380,2379,220,4
993,36638,5180,110,2
1049,5195,37182,110,3
1053,35056,2380,220,4
1054,2379,34757,220,4
1055,2382,2383,110,2
1056,2387,35155,380,2
1057,2390,2397,380,2
1058,2393,2394,380,1
1060,35067,2393,380,2
1062,2390,2387,380,2
1063,2395,2396,380,2
1068,35847,38260,110,2
1071,38260,38924,110,2
1072,36693,38694,110,2
1073,2422,2421,110,2
1074,2415,2413,110,4
1075,2416,2415,110,4
1076,2422,34759,110,2
1077,2411,36840,110,2
1078,2421,2418,110,2
1079,2413,37218,110,5
1080,2417,2416,110,2
1081,2418,2417,110,2
1082,2529,2530,380,2
1087,2443,36357,110,2
1088,35378,36357,110,2
1090,35274,2444,220,2
1092,2444,34760,220,2
1099,35056,2380,220,4
1108,2476,2478,110,2
1110,2473,36764,110,3
1111,36764,2476,110,2
1112,36800,2478,110,2
1113,36800,36801,110,2
1115,38537,35618,380,2
1116,2495,2494,380,2
1117,2491,2495,380,2
1118,2495,2499,380,2
1120,35187,2490,380,9
1123,2507,2500,110,2
