cluster_root,x,y,voltages,missing,existing_trafos,bus_ids
35730,12.130575380118026,54.14436785111948,"110,380",380-110,,"35730,38795"
36150,13.247744246404393,52.53530620050902,"110,380",380-110,,"36150,36181"
37672,9.174559335759954,49.03938284092587,"110,380",380-110,,"37672,37684"
37800,8.993361382412555,52.37718941926572,"110,380",380-110,,"37800,39511"
37806,10.977893882519755,52.1696441419753,"110,380",380-110,,"37806,38378"
37833,11.434874614697698,50.65340219686625,"110,220",220-110,,"37833,39113"
38001,7.621039112336105,51.63745283989212,"110,380",380-110,,"38001,38002"
38253,7.031320262204375,49.33469891161701,"110,220",220-110,,"38253,38473"
38441,7.956714920719834,47.56806504927539,"110,220",220-110,,"38441,38444"
