unit_id,capacity_kw,lat,lon,mounting_type,voltage_level
SEE926649511946,1920.0,51.399956,12.173625,,MV
SEE925249521645,3195.9,53.204629,12.53667,,MV
SEE962379375656,7740.0,54.190703,9.831509,,MV
SEE930588560682,5340.0,52.834443,11.206917,,MV
SEE948878967479,1710.0,49.163886,11.837738,,MV
SEE976991687646,2820.0,52.643887,13.75548,,MV
SEE941474790847,3357.64,48.150706,10.238925,,MV
SEE998465457463,7043.8,53.95,11.6077,,MV
SEE948272836036,2580.0,51.692776,11.686432,,MV
SEE994705466943,1500.0,48.550566,13.021792,,MV
SEE977590806193,1920.0,50.840328,11.068643,,MV
SEE996156028640,7140.0,50.492854,10.565983,,MV
SEE981557497089,5940.0,51.330601,12.06753,,MV
SEE954548040991,3400.0,49.948171,7.285792,,MV
SEE999752400254,1600.0,49.316244,10.850644,,MV
SEE942922095811,3060.0,51.392,12.398,,MV
SEE918374336673,3600.0,51.241701,11.173401,,MV
SEE954778286374,1960.0,51.427379,14.287186,,MV
SEE904874440262,1312.5,51.540774,14.2319,,MV
SEE997106806554,2580.0,51.406,11.276,,MV
SEE914442305107,2100.0,51.292992,11.450119,,MV
SEE998480532039,1350.0,51.628327,12.108444,,MV
SEE962773124324,1800.0,51.632497,12.085499,,MV
SEE911867029137,3564.0,51.663,12.244,,MV
SEE942689932725,4032.0,52.426414,11.833853,,MV
SEE943951721009,1620.0,52.826622,9.691187,,MV
SEE979626515413,2306.0,51.072886,12.148665,,MV
SEE909003733949,1440.0,48.734864,9.413887,,MV
SEE977282899090,1980.0,48.065819,9.177564,,MV
SEE937749705456,1575.0,51.424,11.43,,MV
SEE958239107376,1860.0,51.403,11.285,,MV
SEE985987692908,3744.0,51.510262,13.891041,,MV
SEE903659280048,1700.0,50.164155,10.804544,,MV
SEE988936863831,1600.0,51.381163,11.281793,,MV
SEE924899346868,1825.0,52.331864,7.247114,,MV
SEE935828449611,1215.2,48.648266,8.652782,,MV
SEE965544186705,1560.0,52.271111,11.432222,,MV
SEE961750443793,2112.0,51.641076,9.942728,,MV
SEE940287530398,5016.0,51.63051,11.49358,,MV
SEE948195535757,1440.0,52.68912,14.15948,,MV
SEE987084474319,7582.0,53.512736,13.600518,,MV
SEE902739492005,4400.0,49.01,11.316,,MV
SEE947547350796,2200.0,48.32,10.954,,MV
SEE982601124401,1364.904,49.961,7.424,,MV
SEE990598815264,3800.0,49.015,11.302,,MV
SEE967979139004,1967.0,48.457914,10.745034,,MV
SEE930577857762,1959.75,52.65538,14.17173,,MV
SEE934509518806,2500.0,52.644,11.909,,MV
SEE912616449459,4302.6,53.635669,13.292004,,MV
SEE990941330581,3850.0,48.875723,12.504404,,MV
