jao_name,jao_eic,egon_line_id,jao_r,jao_x,jao_b,jao_s_nom,jao_length_km,jao_v_nom,new_r,new_x,new_b,new_s_nom,path_hops,length_ratio,length_warning,imax_a
Lüdershagen - Güstrow 317-276,11TD8L317-276--N,5071.0,6.59,31.384,0.0004044486382231,264.0,106.538,220,4.014177,19.116987,0.00024636,457.3,4,0.998,,1200.0
Lüdershagen - Bentwisch 318,11TD8L318------R,15244.0,4.69,19.401,0.0002473375896171,264.0,65.349,220,4.69,19.401,0.00024734,457.3,1,0.991,,1200.0
Parchim/Süd - Güstrow 328,11TD8L328------I,6408.0,15.5033,57.559,0.0001962238771432,198.0,52.317,220,15.310196,56.842062,0.00019378,342.9,3,1.003,,900.0
Parchim/Süd - Wolmirstedt 332-322,11TD8L332-322--6,33607.0,9.62549,40.6047,0.0005821371187101,198.0,141.507,220,7.315867,30.861657,0.00044245,342.9,2,1.099,,900.0
Parchim/Süd - Wolmirstedt 332-322,11TD8L332-322--6,33891.0,9.62549,40.6047,0.0005821371187101,198.0,141.507,220,2.309623,9.743043,0.00013968,342.9,2,1.099,,900.0
Eula - Wolkramshausen 357,11TD8L357-----0Y,33784.0,12.208,46.854,0.0006000441968356,235.4,159.147,220,12.185144,46.766279,0.00059892,407.7,2,0.995,,1070.0
Vieselbach - Wolkramshausen 367,11TD8L367------R,23674.0,2.5437,19.586,0.0002456725455107,352.0,65.756,220,0.012876,0.099142,1.24e-06,609.7,2,1.008,,1600.0
Vieselbach - Wolkramshausen 368,11TD8L368------J,24749.0,2.5437,19.586,0.0002456725455107,352.0,65.756,220,0.018471,0.14222,1.78e-06,609.7,2,1.008,,1600.0
Vieselbach - Wolkramshausen 367,11TD8L367------R,33812.0,2.5437,19.586,0.0002456725455107,352.0,65.756,220,2.530824,19.486858,0.00024443,609.7,2,1.008,,1600.0
Vieselbach - Remptendorf - Großschwabhausen 415,11TD8L415------4,3704.0,3.004,19.631,0.0003380982013793,1088.0,77.547,380,0.991923,6.482171,0.00011164,1790.2,3,0.998,,2720.0
Vieselbach - Remptendorf 416,11TD8L416------X,11726.0,3.0161,19.711,0.0003395433339999,1088.0,77.547,380,0.995918,6.508587,0.00011212,1790.2,3,0.998,,2720.0
Vieselbach - Remptendorf - Großschwabhausen 415,11TD8L415------4,3705.0,3.004,19.631,0.0003380982013793,1088.0,77.547,380,2.004078,13.096559,0.00022556,1790.2,3,0.998,,2720.0
Vieselbach - Remptendorf 416,11TD8L416------X,11725.0,3.0161,19.711,0.0003395433339999,1088.0,77.547,380,2.012151,13.14993,0.00022652,1790.2,3,0.998,,2720.0
Redwitz - Remptendorf 414,11T-D2-D8-00051V,2416.0,0.731,7.214,0.000126606,1440.0,55.969,380,0.00271,0.026749,4.7e-07,2494.2,2,0.993,,
Redwitz - Remptendorf 413,11T-D2-D8-00050X,2439.0,0.79,7.463,0.000120386,1440.0,55.985,380,0.0033,0.031175,5e-07,2494.2,2,0.993,,
Hamburg/Ost - Krümmel 992,11TD8L992------H,10884.0,0.59,6.7764,0.0001417172446034,1472.0,28.392,380,0.006646,0.076335,1.6e-06,2422.1,2,1.001,,3680.0
Krümmel - Görries 419,11TD8L419------9,10952.0,2.2112,22.407,0.000389086250147,1080.0,87.47,380,0.010093,0.102277,1.78e-06,1777.1,2,0.988,,2700.0
Krümmel - Görries 419,11TD8L419------9,33865.0,2.2112,22.407,0.000389086250147,1080.0,87.47,380,2.203006,22.323971,0.00038764,1777.1,2,0.988,,2700.0
Görries - Güstrow 423,11TD8L423------B,12815.0,2.2401,18.244,0.000311991566428,1088.0,71.582,380,0.756352,6.159941,0.00010534,1790.2,2,0.989,,2720.0
Krümmel - Wessin 420,11TD8L420------Z,13844.0,2.9614,28.516,0.0004957119048099,1080.0,111.421,380,0.641398,6.176168,0.00010736,1777.1,3,0.99,,2700.0
Görries - Güstrow 423,11TD8L423------B,1115.0,2.2401,18.244,0.000311991566428,1088.0,71.582,380,1.483748,12.084059,0.00020665,1790.2,2,0.989,,2720.0
Wessin - Güstrow 424,11TD8L424------3,12814.0,1.4741,12.006,0.000205240248059,1088.0,47.103,380,1.4741,12.006,0.00020524,1790.2,1,0.995,,2720.0
Wolmirstedt - Förderstedt 437,11TD8L437------7,16845.0,1.3442,12.79,0.000209554,1008.0,48.545,380,1.068577,10.167464,0.00016659,1658.6,2,0.993,,2520.0
Wolmirstedt - Förderstedt 438,11TD8L438-----0Y,17320.0,1.3442,12.79,0.000209576,1008.0,48.545,380,1.068577,10.167464,0.0001666,1658.6,2,0.993,,2520.0
Wolmirstedt - Förderstedt 437,11TD8L437------7,6872.0,1.3442,12.79,0.000209554,1008.0,48.545,380,0.275623,2.622536,4.297e-05,1658.6,2,0.993,,2520.0
Wolmirstedt - Förderstedt 438,11TD8L438-----0Y,16844.0,1.3442,12.79,0.000209576,1008.0,48.545,380,0.275623,2.622536,4.297e-05,1658.6,2,0.993,,2520.0
Mecklar - Vieselbach 449,11T-D2-D8-000302,3700.0,1.775,16.325,0.000267108,1099.2,129.724,380,1.000677,9.203411,0.00015059,1808.7,2,0.978,,2748.0
Eisenach - Vieselbach 454,11TD8L454------D,11722.0,1.891,18.946,0.0003065251952107,1008.0,72.285,380,1.891,18.946,0.00030653,1658.6,1,0.989,,2520.0
Altenfeld - Remptendorf 463,11TD8L463------C,7331.0,1.4945813170600348,13.537748213299547,0.0002085389203452,948.0,50.254,380,1.488423,13.481967,0.00020768,1559.9,2,0.995,,2370.0
Altenfeld - Remptendorf 464,11TD8L464------4,17236.0,1.4945813170600348,13.537748213299547,0.0002085389203452,948.0,50.254,380,1.488423,13.481967,0.00020768,1559.9,2,0.995,,2370.0
Vieselbach - Altenfeld 467,11TD8L467------H,33767.0,1.1669,14.503,0.0002676636940858,1440.0,56.081,380,1.1669,14.503,0.00026766,2369.4,1,0.977,,3600.0
Lauchstädt - Vieselbach 471,11TD8L471------J,33949.0,1.4276,19.656,0.000358456,1440.0,78.069,380,1.4276,19.656,0.00035846,2369.4,1,0.984,,3600.0
Lubmin - Altentreptow/Nord 475,11TD8L475------O,10012.0,1.4206,13.747,0.0002195659105593,1008.0,52.115,380,1.4206,13.747,0.00021957,1658.6,1,0.995,,2520.0
Lubmin - Altentreptow/Süd 476,11T0-0000-0007-7,19206.0,1.622,17.826,0.0002902831611916,1008.0,68.8,380,1.231896,13.5387,0.00022047,1658.6,2,0.992,,2520.0
Lubmin - Altentreptow/Süd 476,11T0-0000-0007-7,10007.0,1.622,17.826,0.0002902831611916,1008.0,68.8,380,0.390104,4.2873,6.982e-05,1658.6,2,0.992,,2520.0
Altentreptow/Nord - Altentreptow/Süd 477,11T0-0000-0008-4,19205.0,0.395,4.342,7.078008248537805e-05,1008.0,16.767,380,0.395,4.342,7.078e-05,1658.6,1,0.979,,2520.0
Altentreptow/Süd - Gransee 479,11TD8L479------T,3849.0,1.814,19.938,0.0003252490874261,1008.0,77.008,380,1.814,19.938,0.00032525,1658.6,1,0.993,,2520.0
Altentreptow/Süd - Malchow 518,11T0-0000-0010-O,11909.0,3.09,33.95,0.0005532344662971,816.0,131.262,380,1.826395,20.066705,0.000327,1342.7,3,0.986,,2040.0
Stendal/West - Wolmirstedt 487,,33987.0,0.584579736817909,9.291628841667208,0.000172473436682,1440.0,37.245,380,0.58458,9.291629,0.00017247,2369.4,1,0.998,,3600.0
Stendal/West - Wolmirstedt 488,11T0-0000-0980-P,32247.0,0.584579736817909,9.291628841667208,0.000172473436682,1440.0,37.245,380,0.591185,9.396613,0.00017442,2369.4,1,0.998,,3600.0
Wolmirstedt - Wustermark 494,11TD8L494------E,31728.0,3.1838,27.944,0.0004344194321383,1000.0,104.103,380,3.038861,26.671879,0.00041464,1645.4,2,1.002,,2500.0
Wolmirstedt - Teufelsbruch 493,11TD8L493------M,3434.0,3.6651,33.198,0.0005186769471076,960.0,124.397,380,0.72891,6.602376,0.00010315,1579.6,2,1.0,,2400.0
Wustermark - Teufelsbruch 498,11TD8L498------J,11377.0,0.7176,7.7358,0.0001298106084463,960.0,29.597,380,0.60195,6.489082,0.00010889,1579.6,2,0.996,,2400.0
Wolmirstedt - Wustermark 494,11TD8L494------E,31723.0,3.1838,27.944,0.0004344194321383,1000.0,104.103,380,0.144939,1.272121,1.978e-05,1645.4,2,1.002,,2500.0
Neuenhagen - Marzahn 496,11TD8L496------Z,33177.0,0.7606,4.3135,7.194247176720627e-05,960.0,16.937,380,0.7606,4.3135,7.194e-05,1579.6,1,0.993,,2400.0
Jessen/Nord - Lauchstädt 499,11TD8L499------B,3824.0,3.33876,25.41866,0.0004645787216128,816.0,102.157,380,2.60019,19.795778,0.00036181,1342.7,2,0.99,,2040.0
Jessen/Nord - Marke 500,11TD8L500------6,11873.0,3.45078,26.8854,0.0004905911087845,816.0,107.37,380,2.551901,19.882135,0.0003628,1342.7,2,0.992,,2040.0
Jessen/Nord - Lauchstädt 499,11TD8L499------B,3664.0,3.33876,25.41866,0.0004645787216128,816.0,102.157,380,0.73857,5.622882,0.00010277,1342.7,2,0.99,,2040.0
Marke - Lauchstädt 504,11TD8L504------B,11670.0,2.104,12.729,0.0002301530778019,816.0,50.873,380,0.93925,5.682375,0.00010274,1342.7,2,0.985,,2040.0
Jessen/Nord - Marke 500,11TD8L500------6,3663.0,3.45078,26.8854,0.0004905911087845,816.0,107.37,380,0.898879,7.003265,0.00012779,1342.7,2,0.992,,2040.0
Marke - Lauchstädt 504,11TD8L504------B,11668.0,2.104,12.729,0.0002301530778019,816.0,50.873,380,1.16475,7.046625,0.00012741,1342.7,2,0.985,,2040.0
Förderstedt - Ragow 531,11TD8L531------8,3257.0,4.9858,46.695,0.0007656061296798,1008.0,179.426,380,1.499455,14.043294,0.00023025,1658.6,5,0.993,,2520.0
Ragow - Schönewalde 501,11T0-0000-0040-C,11124.0,1.698499818115048,13.442114075662966,0.000246772,816.0,54.003,380,1.6985,13.442114,0.00024677,1342.7,1,0.992,,2040.0
Förderstedt - Ragow 531,11TD8L531------8,11120.0,4.9858,46.695,0.0007656061296798,1008.0,179.426,380,0.214365,2.007659,3.292e-05,1658.6,5,0.993,,2520.0
Ragow - Jessen/Nord 502,11TD8L502-----1N,17240.0,1.945,15.45,0.0002902799999999,816.0,61.782,380,0.243281,1.932492,3.631e-05,1342.7,2,0.991,,2040.0
Lubmin - Siedenbrünzow 509,11TD8L509------8,3938.0,1.5903,14.442,0.0002431278554613,1008.0,56.205,380,1.5903,14.442,0.00024313,1658.6,1,0.99,,2520.0
Lubmin - Siedenbrünzow 510,11TD8L510------Y,12037.0,1.5903,14.442,0.0002431278554613,1008.0,56.205,380,1.5903,14.442,0.00024313,1658.6,1,0.99,,2520.0
Siedenbrünzow - Güstrow 512,11TD8L512------I,11174.0,3.3653,25.045,0.0003869185512161,1000.0,93.611,380,1.828155,13.605364,0.00021019,1645.4,2,0.981,,2500.0
Güstrow - Putlitz/Süd 514,11TD8L514-----1Z,3891.0,2.882,26.429,0.00042223,1008.0,100.3,380,1.212688,11.120791,0.00017767,1658.6,2,0.994,,2520.0
Siedenbrünzow - Güstrow 512,11TD8L512------I,11957.0,3.3653,25.045,0.0003869185512161,1000.0,93.611,380,1.537145,11.439636,0.00017673,1645.4,2,0.981,,2500.0
Güstrow - Putlitz/Süd 514,11TD8L514-----1Z,33128.0,2.882,26.429,0.00042223,1008.0,100.3,380,1.669312,15.308209,0.00024456,1658.6,2,0.994,,2520.0
Perleberg - Stendal/West 516,11TD8L516------N,33383.0,2.4508,19.375,0.0003247778485281,1008.0,75.543,380,0.352805,2.789129,4.675e-05,1658.6,2,0.988,,2520.0
Perleberg - Stendal/West 516,11TD8L516------N,33384.0,2.4508,19.375,0.0003247778485281,1008.0,75.543,380,2.097995,16.585871,0.00027802,1658.6,2,0.988,,2520.0
Altentreptow/Süd - Malchow 518,11T0-0000-0010-O,33226.0,3.09,33.95,0.0005532344662971,816.0,131.262,380,1.17228,12.87991,0.00020989,1342.7,3,0.986,,2040.0
Altentreptow/Süd - Malchow 518,11T0-0000-0010-O,33333.0,3.09,33.95,0.0005532344662971,816.0,131.262,380,0.091324,1.003384,1.635e-05,1342.7,3,0.986,,2040.0
Wustermark - Ragow 521-525,11TD8L521-525--G,3831.0,4.0033,32.625,0.0005854357909964,1001.6,130.739,380,2.110355,17.198392,0.00030861,1648.1,3,1.0,,2504.0
Wustermark - Ragow 521-525,11TD8L521-525--G,3833.0,4.0033,32.625,0.0005854357909964,1001.6,130.739,380,0.018039,0.147006,2.64e-06,1648.1,3,1.0,,2504.0
Thyrow - Ragow 522,11TD8L522------9,11879.0,1.9479,15.382,0.0002779681179896,1001.6,61.804,380,0.015809,0.124836,2.26e-06,1648.1,2,1.0,,2504.0
Wustermark - Ragow 521-525,11TD8L521-525--G,33323.0,4.0033,32.625,0.0005854357909964,1001.6,130.739,380,1.874907,15.279602,0.00027418,1648.1,3,1.0,,2504.0
Wustermark - Thyrow 526,11TD8L526------E,31739.0,2.0631,17.306,0.0003125256371791,283.8,69.44,220,2.0631,17.306,0.00031253,491.6,1,0.996,,1290.0
Förderstedt - Ragow 531,11TD8L531------8,7033.0,4.9858,46.695,0.0007656061296798,1008.0,179.426,380,2.945844,27.589593,0.00045236,1658.6,5,0.993,,2520.0
Förderstedt - Jessen/Nord 533,11T0-0000-0042-6,16854.0,3.2516,30.4911,0.0005270964154192,1008.0,117.5,380,2.927496,27.451891,0.00047456,1658.6,3,0.995,,2520.0
Förderstedt - Ragow 531,11TD8L531------8,7034.0,4.9858,46.695,0.0007656061296798,1008.0,179.426,380,0.049456,0.46319,7.59e-06,1658.6,5,0.993,,2520.0
Förderstedt - Jessen/Nord 533,11T0-0000-0042-6,16849.0,3.2516,30.4911,0.0005270964154192,1008.0,117.5,380,0.049148,0.460878,7.97e-06,1658.6,3,0.995,,2520.0
Lauchstädt - Wolmirstedt 535,11TD8L535------D,3577.0,5.4291,40.6894,0.0006766990575832,1008.0,155.36,380,1.338311,10.030218,0.00016681,1658.6,2,0.996,,2520.0
Klostermansfeld - Lauchstädt 538,11TD8L538------Q,11550.0,1.3812,10.0828,0.0001696145873673,1000.0,38.769,380,1.3812,10.0828,0.00016961,1645.4,1,0.983,,2500.0
Lauchstädt - Wolmirstedt 535,11TD8L535------D,3574.0,5.4291,40.6894,0.0006766990575832,1008.0,155.36,380,4.090789,30.659182,0.00050989,1658.6,2,0.996,,2520.0
Wolmirstedt - Klostermansfeld 536,11TD8L536------5,11561.0,3.8793,30.282,0.0005040057094154,1008.0,117.188,380,3.8793,30.282,0.00050401,1658.6,1,0.995,,2520.0
Ragow - Preilack 539,11TD8L539------I,8418.0,1.3485,10.826,0.0001915743200159,912.0,43.164,380,1.3485,10.826,0.00019157,1500.6,1,0.99,,2280.0
Ragow - Preilack 540,11TD8L540------7,17816.0,1.3485,10.826,0.0001915743200159,912.0,43.164,380,1.3485,10.826,0.00019157,1500.6,1,0.99,,2280.0
Graustein - Preilack 541,11TD8L541-----0Y,3435.0,2.0053,15.874,0.000269140242633,800.0,62.459,380,2.0053,15.874,0.00026914,1316.4,1,0.984,,2000.0
Graustein - Preilack 542,11TD8L542------S,11382.0,2.0053,15.874,0.000269140242633,800.0,62.459,380,2.0053,15.874,0.00026914,1316.4,1,0.984,,2000.0
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 547-2,11TD8L547------P,6949.0,0.502,1.818,3.46203510425595e-05,480.0,7.526,380,0.502,1.818,3.462e-05,789.8,1,0.982,,1200.0
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-2,11T0000000000023,17245.0,0.502,1.818,3.462035104255953e-05,480.0,7.526,380,0.502,1.818,3.462e-05,789.8,1,0.982,,1200.0
Eisenhüttenstadt (Abzweig) - Preilack 547-1,11TD8L547------P,7335.0,1.422,9.63,0.0001708712244287,912.0,38.476,380,1.422,9.63,0.00017087,1500.6,1,0.995,,2280.0
Eisenhüttenstadt (Abzweig) - Preilack 548-1,11T0000000000023,17232.0,1.422,9.63,0.0001708712244287,912.0,38.476,380,1.422,9.63,0.00017087,1500.6,1,0.995,,2280.0
Neuenhagen - Heinersdorf (Abzweig) 547-3,11TD8L547------P,7536.0,1.543,10.452,0.0001851026391495,1001.6,41.722,380,1.543,10.452,0.0001851,1648.1,1,0.99,,2504.0
Eisenhüttenstadt (Abzweig) - Heinersdorf (Abzweig) 547-4,11TD8L547------P,7342.0,1.674,11.334,0.0002007477705643,1001.6,45.247,380,1.674,11.334,0.00020075,1648.1,1,0.999,,2504.0
Eisenhüttenstadt (Abzweig) - Heinersdorf (Abzweig) 548-4,11T0000000000023,17244.0,1.674,11.334,0.0002007477705643,1001.6,45.247,380,1.674,11.334,0.00020075,1648.1,1,0.999,,2504.0
Bärwalde - Schmölln 551,11TD8L551------R,7601.0,0.7441,11.506,0.0002189690079552,1260.0,45.911,380,0.7441,11.506,0.00021897,2073.3,1,0.99,,3150.0
Bärwalde - Schmölln 552,11TD8L552------J,17466.0,0.7441,11.506,0.0002189690079552,1260.0,45.911,380,0.7441,11.506,0.00021897,2073.3,1,0.99,,3150.0
Hagenwerder - Schmölln 553,11TD8L553------B,7434.0,1.6516,14.496,0.0002523013060097,1000.0,56.656,380,1.6516,14.496,0.0002523,1645.4,1,0.993,,2500.0
Hagenwerder - Schmölln 554,11TD8L554------3,17346.0,1.6516,14.496,0.0002523013060097,1000.0,56.656,380,1.6516,14.496,0.0002523,1645.4,1,0.993,,2500.0
Schmölln - Dresden/Süd 555,11TD8L555------W,16807.0,1.0031,9.3866,0.0001630486587213,1000.0,36.548,380,1.0031,9.3866,0.00016305,1645.4,1,0.972,,2500.0
Bärwalde - Streumen 557,11TD8L557------G,18131.0,2.5843,24.182,0.0004043543904435,1008.0,93.783,380,2.5843,24.182,0.00040435,1658.6,1,0.994,,2520.0
Preilack - Streumen 559,11TD8L559------0,8230.0,3.0048,32.391,0.0005117968591963,816.0,121.222,380,1.251634,13.492301,0.00021319,1342.7,2,0.992,,2040.0
Preilack - Streumen 560,11TD8L560------Q,17590.0,3.0048,32.391,0.000537904,816.0,121.222,380,1.251634,13.492301,0.00022406,1342.7,2,0.992,,2040.0
Preilack - Streumen 559,11TD8L559------0,8143.0,3.0048,32.391,0.0005117968591963,816.0,121.222,380,1.753166,18.898699,0.00029861,1342.7,2,0.992,,2040.0
Preilack - Streumen 560,11TD8L560------Q,18296.0,3.0048,32.391,0.000537904,816.0,121.222,380,1.753166,18.898699,0.00031384,1342.7,2,0.992,,2040.0
Ragow - Streumen 561,11T0-0000-0043-3,7273.0,2.9365,22.6101,0.0003850021796974,816.0,88.719,380,2.9365,22.6101,0.000385,1342.7,1,0.995,,2040.0
Ragow - Streumen 562,11TD8L562------A,17153.0,2.9365,22.6101,0.0003850021796974,816.0,88.719,380,2.9365,22.6101,0.000385,1342.7,1,0.995,,2040.0
Graustein - Bärwalde 565,11TD8L565------N,2443.0,0.6666,5.5904,9.641547853867076e-05,1008.0,21.801,380,0.6666,5.5904,9.642e-05,1658.6,1,0.982,,2520.0
Graustein - Bärwalde 566,11TD8L566------F,11747.0,0.6666,5.5904,9.641547853867076e-05,1008.0,21.801,380,0.6666,5.5904,9.642e-05,1658.6,1,0.982,,2520.0
Streumen - Röhrsdorf 571,11TD8L571------9,16074.0,2.6478,19.844,0.0003857875778608,1001.6,82.808,380,2.637365,19.765797,0.00038427,1648.1,2,0.999,,2504.0
Dresden/Süd - Röhrsdorf 591,11TD8L591------S,5814.0,2.2251,22.06,0.0003806039499824,1008.0,85.368,380,0.008636,0.085616,1.48e-06,1658.6,3,0.984,,2520.0
Freiberg/Nord - Röhrsdorf 594,11TD8L594------4,6533.0,1.0522,9.686,0.0001675725521424,1008.0,37.587,380,0.010977,0.101049,1.75e-06,1658.6,2,0.991,,2520.0
Röhrsdorf - Weida 573,11TD8L573------U,6532.0,2.5835,15.606,0.0002707424548863,1001.6,61.654,380,2.569375,15.520677,0.00026926,1648.1,2,0.967,,2504.0
Remptendorf - Röhrsdorf 574,11TD8L574------M,16730.0,4.2693,25.789,0.0004598349167059,1001.6,103.396,380,2.456424,14.838197,0.00026457,1648.1,4,0.997,,2504.0
Remptendorf - Röhrsdorf 574,11TD8L574------M,5822.0,4.2693,25.789,0.0004598349167059,1001.6,103.396,380,0.028466,0.171953,3.07e-06,1648.1,4,0.997,,2504.0
Remptendorf - Weida 575,11TD8L575------E,16092.0,1.8371,11.097,0.0002074079469899,1001.6,45.505,380,0.029063,0.175557,3.28e-06,1648.1,2,0.954,,2504.0
Remptendorf - Röhrsdorf 574,11TD8L574------M,16097.0,4.2693,25.789,0.0004598349167059,1001.6,103.396,380,1.770906,10.697278,0.00019074,1648.1,4,0.997,,2504.0
Streumen - Eula 585,11TD8L585------5,7651.0,2.9546,22.144,0.0003566964298885,1008.0,84.359,380,2.9546,22.144,0.0003567,1658.6,1,0.995,,2520.0
Streumen - Eula 586,11TD8L586------Y,17485.0,2.9546,22.144,0.0003566964298885,1008.0,84.359,380,2.9546,22.144,0.0003567,1658.6,1,0.995,,2520.0
Eula - Pulgar 587,11TD8L587------Q,6903.0,0.7639,4.9919,9.085485954181684e-05,1088.0,20.185,380,0.7639,4.9919,9.085e-05,1790.2,1,0.985,,2720.0
Eula - Pulgar 588,11TD8L588------I,17365.0,0.7639,4.9919,9.085485954181684e-05,1088.0,20.185,380,0.7639,4.9919,9.085e-05,1790.2,1,0.985,,2720.0
Pulgar - Vieselbach 589,11TD8L589------A,33981.0,3.2561,27.307,0.000441079608564,1008.0,104.4,380,3.2561,27.307,0.00044108,1658.6,1,0.994,,2520.0
Dresden/Süd - Röhrsdorf 591,11TD8L591------S,6989.0,2.2251,22.06,0.0003806039499824,1008.0,85.368,380,1.237792,12.271673,0.00021172,1658.6,3,0.984,,2520.0
Dresden/Süd - Freiberg/Nord 592,11TD8L592------K,16812.0,1.1724,12.37,0.0002129685659868,1008.0,47.765,380,1.1724,12.37,0.00021297,1658.6,1,0.978,,2520.0
Dresden/Süd - Röhrsdorf 591,11TD8L591------S,7399.0,2.2251,22.06,0.0003806039499824,1008.0,85.368,380,0.978672,9.702711,0.0001674,1658.6,3,0.984,,2520.0
