jao_osm_id,cluster_id,cluster_name,cluster_osm_id,confidence,tier,distance_km,method,cluster_degree,cluster_voltages
23682013,osm_23682013,Hannover/West,23682013,1.0,0,0.0,osm_id,1,[220.0]
28613721,osm_28613721,Umspannwerk Kriegenbrunn,28613721,1.0,0,0.0,osm_id,2,[380.0]
503851756,spatial_669,,,0.9,1,0.0,spatial_0.5km,4,[380.0]
1128250704,spatial_39468,,,0.899,1,0.002,spatial_0.5km,3,[380.0]
24158385,osm_24158385,Umspannwerk Neufinsing,24158385,1.0,0,0.0,osm_id,5,[220.0]
449010725,osm_449010725,Umspannwerk Handewitt,449010725,1.0,0,0.0,osm_id,4,[380.0]
24230738,osm_24230738,Eickum,24230738,1.0,0,0.0,osm_id,4,[380.0]
26474759,osm_26474759,Umspannwerk Helmstedt,26474759,1.0,0,0.0,osm_id,3,[380.0]
301426399,osm_28227099,Hallendorf,28227099,0.602,2,1.393,spatial_2.0km,6,[220.0]
24604789,osm_24604789,Schaltanlage Ovenstädt,24604789,1.0,0,0.0,osm_id,5,[380.0]
4826893,osm_4826893,Umspannwerk Frankfurt Nord,4826893,1.0,0,0.0,osm_id,3,[220.0]
829116805,osm_829116805,Schaltanlage Elsfleth/West,829116805,1.0,0,0.0,osm_id,4,[380.0]
288305056,osm_288305056,Lage,288305056,1.0,0,0.0,osm_id,2,[220.0]
24272339,osm_24272339,Klein Ilsede,24272339,1.0,0,0.0,osm_id,3,[380.0]
55069713,osm_55069713,Umspannwerk Aschaffenburg,55069713,1.0,0,0.0,osm_id,3,[380.0]
202747445,osm_202747445,Umspannwerk Gießen Nord,202747445,1.0,0,0.0,osm_id,3,[380.0]
25306938,osm_25306938,Kummerfeld,25306938,1.0,0,0.0,osm_id,3,[380.0]
130794504,osm_130794504,Umspannwerk Lübeck,130794504,1.0,0,0.0,osm_id,2,[220.0]
24413992,osm_24413992,Grohnde,24413992,1.0,0,0.0,osm_id,5,[380.0]
32076853,osm_32076853,Unterweser,32076853,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
274630377,osm_274630377,Würgassen,274630377,1.0,0,0.0,osm_id,3,"[220.0, 380.0]"
34835258,osm_34835258,Emden-Borssum,34835258,1.0,0,0.0,osm_id,3,[220.0]
30109913,osm_30109913,Godenau,30109913,1.0,0,0.0,osm_id,4,[220.0]
31653753,osm_31653753,Umspannwerk Stalldorf,31653753,1.0,0,0.0,osm_id,2,[380.0]
1057547856,spatial_11804,,,0.9,1,0.0,spatial_0.5km,7,[220.0]
24042358,osm_24042358,Umspannwerk Karben,24042358,1.0,0,0.0,osm_id,3,[380.0]
920516997,osm_78441561,Umspannwerk Plattling,78441561,0.844,1,0.155,spatial_0.5km,0,[380.0]
30017786,osm_30017786,Gleidingen 220 kV,30017786,1.0,0,0.0,osm_id,4,[220.0]
24272541,osm_24272541,Umspannwerk Braunschweig Nord,24272541,1.0,0,0.0,osm_id,2,[220.0]
28956649,osm_28956649,Schwandorf,28956649,1.0,0,0.0,osm_id,6,"[220.0, 380.0]"
23744346,osm_23744346,Umspannwerk Maade,23744346,1.0,0,0.0,osm_id,5,[220.0]
24768051,osm_24768051,Ingolstadt,24768051,1.0,0,0.0,osm_id,4,"[220.0, 380.0]"
289836713,osm_289836713,Umspannwerk Süderdonn,289836713,1.0,0,0.0,osm_id,2,[380.0]
24502420,osm_24502420,Umspannwerk Dollern,24502420,1.0,0,0.0,osm_id,7,[380.0]
44717036,osm_44717036,Niedervieland,44717036,1.0,0,0.0,osm_id,1,[380.0]
559702819,osm_559702819,Konverter Station Emden Ost,559702819,1.0,0,0.0,osm_id,3,"[220.0, 380.0]"
93341407,osm_93341407,Umspannwerk Mechlenreuth,93341407,1.0,0,0.0,osm_id,3,"[220.0, 380.0]"
24757833,osm_24757833,Umspannwerk Oberhaid,24757833,1.0,0,0.0,osm_id,3,[380.0]
50643382,osm_50643382,Cloppenburg 220 kV,50643382,1.0,0,0.0,osm_id,1,[220.0]
