bus_id,v_nom,lat,lon,is_substation,substation_name,osm_substation_id
3982,220,54.290219,9.728737,0,Unnamed,
35781,220,54.28780684054939,9.725986368902143,1,Audorf Süd,35176751
39458,220,54.2909483054181,9.726960959542497,1,Audorf,1119527154
39457,110,54.2909483054181,9.726960959542497,1,Audorf,1119527154
35782,380,54.28780684054939,9.725986368902143,1,Audorf Süd,35176751
3981,220,54.321589,9.9572075,0,Unnamed,
16694,380,54.7210228,9.3322302,0,Unnamed,
15933,380,53.752385100000005,9.9822366,0,Unnamed,
14130,110,54.325011,9.738999100000001,0,Unnamed,
16695,380,54.7266276,9.313836700000001,0,Unnamed,
15934,380,53.7447906,9.979425800000001,0,Unnamed,
116,380,53.921416900000004,9.3508194,0,Unnamed,
3978,220,54.3134086,9.9968298,0,Unnamed,
14126,110,54.340682,9.719896,0,Unnamed,
12366,110,54.177473600000006,9.868203000000001,0,Unnamed,
15935,380,53.7429952,9.978262500000001,0,Unnamed,
117,380,53.878343300000004,9.3557308,0,Unnamed,
1049,380,53.8981792,9.2474899,0,Unnamed,
14127,110,54.341249700000006,9.7148801,0,Unnamed,
458,380,53.7422582,9.981701300000001,0,Unnamed,
120,380,53.869839000000006,9.427268100000001,0,Unnamed,
1552,220,53.873170200000004,9.3618889,0,Unnamed,
4064,110,54.3199946,9.9843556,0,Unnamed,
16137,110,54.1392796,10.2000372,0,Unnamed,
1028,110,54.391734400000004,10.2909152,0,Unnamed,
26109,110,54.7174733,9.324015600000001,0,Unnamed,
457,380,53.7403927,9.975146,0,Unnamed,
916,220,53.743394900000006,9.980878200000001,0,Unnamed,
757,380,53.741981900000006,9.992687,0,Unnamed,
114,380,53.8644784,9.458743400000001,0,Unnamed,
912,220,53.7447906,9.979425800000001,0,Unnamed,
758,380,53.6876717,10.060753400000001,0,Unnamed,
12258,110,54.0975666,9.9541552,0,Unnamed,
16402,110,54.0454827,10.2373215,0,Unnamed,
13150,110,54.073150000000005,10.0108615,0,Unnamed,
13724,110,54.0585954,10.0148217,0,Unnamed,
26723,110,54.850512300000005,9.1944411,0,Unnamed,
913,220,53.752385100000005,9.9822366,0,Unnamed,
94,110,53.6569105,9.915682,0,Unnamed,
285,110,53.604943500000005,9.926349100000001,0,Unnamed,
13710,110,53.9764326,9.8054833,0,Unnamed,
