bus_id,capacity_mw,plant_count,carrier
34730.0,23.21517799999999,2177,solar
34732.0,5.411844999999994,767,solar
34734.0,9.623992999999995,724,solar
34735.0,3.8634719999999962,492,solar
34736.0,31.828498999999987,2960,solar
34737.0,17.08889800000001,1250,solar
34740.0,11.516782999999997,1620,solar
34741.0,3.5555079999999983,279,solar
34742.0,52.73400200000002,3135,solar
34745.0,29.68478,2789,solar
34746.0,12.926080999999995,1101,solar
34747.0,9.545273999999992,1348,solar
34749.0,5.465327999999998,667,solar
34750.0,10.329762,878,solar
34751.0,9.844651,638,solar
34753.0,10.752333000000005,1152,solar
34759.0,18.22382400000001,1792,solar
34762.0,23.46101900000003,1363,solar
34765.0,14.247637999999998,1164,solar
34768.0,30.504547000000034,3207,solar
34775.0,8.439772999999995,814,solar
34776.0,20.36119300000008,2905,solar
34778.0,13.421213999999999,1751,solar
34782.0,26.09595100000009,2321,solar
34784.0,25.709343,990,solar
34787.0,3.5677449999999973,695,solar
34789.0,3.902704999999997,447,solar
34791.0,4.958932999999993,716,solar
34793.0,6.920159999999995,984,solar
34801.0,1.7605139999999992,193,solar
34802.0,32.915955,3230,solar
34804.0,9.338061999999999,606,solar
34806.0,14.484261000000002,1055,solar
34807.0,20.027158,911,solar
34809.0,11.763858000000004,1291,solar
34812.0,46.616486000000044,4520,solar
34813.0,6.261068999999997,377,solar
34817.0,16.912833999999997,1597,solar
34818.0,17.77541300000001,956,solar
34821.0,18.329484000000004,1154,solar
34822.0,51.79766500000006,4008,solar
34823.0,1.4207709999999998,281,solar
34824.0,9.126272999999996,612,solar
34825.0,18.156540000000017,1080,solar
34827.0,14.745442999999993,1466,solar
34828.0,43.65440800000006,4808,solar
34829.0,11.167181999999999,944,solar
34831.0,9.846321999999997,1094,solar
34832.0,42.49332899999999,5064,solar
34834.0,10.191970999999999,1289,solar
34835.0,15.942989999999996,1436,solar
34838.0,9.898927999999994,1091,solar
34839.0,9.147963999999996,545,solar
34840.0,15.649244999999999,971,solar
34842.0,15.689139000000019,1301,solar
