line_id,bus0,bus1,r,x,s_nom,length,carrier,num_parallel,b,g,v_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,cables,terrain_factor,v_ang_min,v_ang_max,type,geom,topo
33109,13764,16477,0.481199282,4.31923504,3580.0,34.34605927942463,AC,1.0,5.7610337404444525e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33110,5216,5211,0.08993023782569938,0.25919641806617205,1560.0,2.4718958684602814,AC,1.0,6.392295183044159e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33111,610,602,1.191990118,3.4355457400000002,1040.0,21.817226397407072,AC,1.0,3.679118646740439e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33112,11872,11869,0.257076042,2.307512,3580.0,18.316141808473688,AC,1.0,3.9799945719249274e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33113,39347,35387,0.837140589,7.514150742,3580.0,59.74689532097423,AC,1.0,8.936811294958737e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33114,39331,34980,0.7158300867190637,6.425275629957874,3580.0,52.76200900874245,AC,1.0,3.781578413568494e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33115,12024,12025,0.2745662032,2.464500792,1790.0,9.779509157224396,AC,1.0,1.0765083129402863e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33116,35228,610,1.333662726,3.8438795999999993,1040.0,24.414843295756427,AC,1.0,2.3500614298016874e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33117,1145,39223,0.858847158,7.70899616,3580.0,61.223104321010595,AC,1.0,5.68222388050611e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33118,122,115,0.05591247419999999,0.50186942,7160.0,7.974495900851066,AC,1.0,1.2285426704141591e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33119,22074,22117,0.3436722888,3.0848027599999996,3580.0,24.501970791991383,AC,1.0,1.8134209289336414e-05,0.0,380.0,True,3580.0,inf,1.0,0,inf,0.0,6,1.0,-inf,inf,,,
33120,4233,4230,0.1686710408,1.513987792,3580.0,12.012803943341028,AC,1.0,1.283494619631451e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33121,8335,36817,0.5249233854,4.711701244,3580.0,37.425536054115554,AC,1.0,1.864576489552428e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33122,2707,2711,0.27318696659999997,2.452114882,3580.0,19.48218792221018,AC,1.0,2.5679039777714816e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33123,6928,36898,1.09349636,3.15167248,520.0,10.014608618555844,AC,1.0,8.656161523897755e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33124,1691,1690,0.692186454,6.2130554799999995,3580.0,49.34988488699394,AC,1.0,3.160314758903521e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33125,37760,154,0.2321553456,2.0838200346666667,5370.0,27.85579548572065,AC,1.0,0.00010254628220436731,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33126,160,163,0.127719634,1.146409289,7160.0,18.215700690181965,AC,1.0,6.916031733578533e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33127,36394,37820,0.258499465,2.320282736,3580.0,18.417223330224743,AC,1.0,1.2941134182746676e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33128,9913,14507,0.322107665,2.891229506,3580.0,22.976331629158615,AC,1.0,3.1814503266022244e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33129,4273,35332,0.555815436,1.6019698199999999,1040.0,10.186607786770269,AC,1.0,1.6727052852269183e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33130,19642,37354,0.1353081428,1.2145216859999999,3580.0,9.636567194949555,AC,1.0,1.9130108585952124e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33131,9909,9919,0.18024585599999998,1.6178872020000001,3580.0,12.856887773798451,AC,1.0,2.758172432444855e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33132,2753,2751,4.525883137818651,13.044502598867117,1040.0,82.85136923612299,AC,1.0,0.00011046845545972264,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33133,3260,3273,2.7847997540000002,8.02632688,1040.0,51.013039647945575,AC,1.0,8.708299228587216e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33134,37610,11982,0.483982953,4.344222016,3580.0,34.52690379126193,AC,1.0,9.656287833197484e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33135,712,718,0.6050337618,5.4307692020000005,3580.0,43.11120840118123,AC,1.0,6.158067715963216e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33136,15065,35286,2.617459919782996,7.544032563709392,1040.0,47.88964633784642,AC,1.0,3.257686589653187e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33137,37833,39411,1.74691572,5.034952779999999,520.0,23.48637134676794,AC,1.0,2.2970021672068354e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
