line_id,r,x,b,s_nom
23048.0,0.022494,0.086975,1.18e-06,407.7
5818.0,0.774085,2.993132,4.047e-05,407.7
6250.0,4.257122,16.460892,0.00022259,407.7
4778.0,1.878957,11.865282,0.0001556,457.3
15243.0,2.535285,12.073958,0.0001556,457.3
4777.0,0.012772,0.080655,1.06e-06,457.3
6405.0,0.017646,0.084038,1.08e-06,457.3
49.0,0.017271,0.109063,1.43e-06,457.3
13000.0,0.022821,0.10868,1.4e-06,457.3
3510.0,0.500683,1.88836,4.502e-05,365.8
11499.0,0.500683,1.88836,2.584e-05,365.8
33222.0,2.466517,9.30264,0.00022177,365.8
3547.0,0.047488,0.593598,1.119e-05,407.7
33232.0,0.493061,6.163257,0.00011617,407.7
3543.0,0.007452,0.093145,1.76e-06,407.7
3605.0,0.306522,1.391443,2.071e-05,407.7
11600.0,0.304455,1.383846,2.071e-05,365.8
11602.0,0.242178,1.099357,1.636e-05,407.7
4190.0,2.314781,8.518195,0.00010854,407.7
14407.0,2.2852,8.7795,0.00010999,342.9
2986.0,0.042957,0.15808,2.01e-06,407.7
4192.0,1.880624,6.920533,8.818e-05,407.7
4191.0,0.685938,2.524192,3.216e-05,407.7
23183.0,0.026349,0.152525,2e-06,457.3
23184.0,0.028125,0.162806,2.14e-06,457.3
4660.0,2.794651,16.177475,0.00021238,457.3
14977.0,2.794651,16.177475,0.00021238,457.3
12998.0,4.957967,18.12333,0.00023411,342.9
30187.0,4.942556,18.066996,0.00023338,342.9
33635.0,7.164333,26.18847,0.00033829,342.9
5071.0,4.014177,19.116987,0.00024636,457.3
15244.0,4.69,19.401,0.00024734,457.3
6408.0,15.310196,56.842062,0.00019378,342.9
33607.0,7.315867,30.861657,0.00044245,342.9
33891.0,2.309623,9.743043,0.00013968,342.9
33784.0,12.185144,46.766279,0.00059892,407.7
23674.0,0.012876,0.099142,1.24e-06,609.7
24749.0,0.018471,0.14222,1.78e-06,609.7
33812.0,2.530824,19.486858,0.00024443,609.7
3704.0,0.991923,6.482171,0.00011164,1790.2
11726.0,0.995918,6.508587,0.00011212,1790.2
3705.0,2.004078,13.096559,0.00022556,1790.2
11725.0,2.012151,13.14993,0.00022652,1790.2
2416.0,0.00271,0.026749,4.7e-07,2494.2
2439.0,0.0033,0.031175,5e-07,2494.2
10884.0,0.006646,0.076335,1.6e-06,2422.1
10952.0,0.010093,0.102277,1.78e-06,1777.1
33865.0,2.203006,22.323971,0.00038764,1777.1
12815.0,0.756352,6.159941,0.00010534,1790.2
13844.0,0.641398,6.176168,0.00010736,1777.1
1115.0,1.483748,12.084059,0.00020665,1790.2
12814.0,1.4741,12.006,0.00020524,1790.2
16845.0,1.068577,10.167464,0.00016659,1658.6
17320.0,1.068577,10.167464,0.0001666,1658.6
6872.0,0.275623,2.622536,4.297e-05,1658.6
