bus_id,carrier,n_units,is_aggregated,p_nom_mw,component
2427,battery,1,True,5.771875,storage
2442,battery,0,True,0.009696969696969697,storage
2443,battery,0,True,0.009696969696969697,storage
2513,battery,0,True,0.009696969696969697,storage
2545,battery,1,True,0.014666666666666666,storage
2546,battery,1,True,0.014666666666666666,storage
2547,battery,0,True,0.014666666666666666,storage
2548,battery,0,True,0.014666666666666666,storage
2549,battery,0,True,0.014666666666666666,storage
2577,battery,0,True,0.055,storage
2584,battery,1,True,0.05,storage
2632,battery,1,True,0.732608695652174,storage
2633,battery,1,True,0.732608695652174,storage
2635,battery,1,True,0.732608695652174,storage
2636,battery,0,True,0.732608695652174,storage
2647,battery,1,True,0.5904571428571429,storage
2659,battery,0,True,0.054400000000000004,storage
2662,battery,4,True,0.597,storage
2663,battery,1,True,0.18666666666666668,storage
2664,battery,4,True,0.597,storage
2668,battery,7,True,1.725,storage
2676,battery,1,True,0.2636363636363636,storage
2695,battery,1,True,0.1,storage
2699,battery,1,True,0.18857142857142858,storage
2704,battery,2,True,0.25,storage
2722,battery,1,True,0.044,storage
2724,battery,1,True,0.0175,storage
2725,battery,0,True,0.044,storage
2792,battery,1,True,0.18666666666666668,storage
2846,battery,1,True,0.033,storage
2867,battery,0,True,0.2636363636363636,storage
2871,battery,1,True,0.175,storage
2876,battery,0,True,0.175,storage
2877,battery,0,True,0.03333333333333333,storage
2928,battery,0,True,0.014666666666666666,storage
2930,battery,0,True,0.014666666666666666,storage
2937,battery,0,True,0.017083333333333332,storage
2938,battery,0,True,1.875,storage
2948,battery,0,True,0.017083333333333332,storage
2970,battery,1,True,0.025,storage
2971,battery,0,True,0.025,storage
2974,battery,1,True,0.024,storage
2975,battery,0,True,0.025,storage
3057,battery,1,True,0.23583333333333334,storage
3100,battery,1,True,0.23583333333333334,storage
3112,battery,1,True,0.025846153846153845,storage
3115,battery,1,True,0.025846153846153845,storage
3123,battery,1,True,0.05,storage
3150,battery,0,True,0.009696969696969697,storage
3155,battery,0,True,0.009696969696969697,storage
3157,battery,0,True,0.009696969696969697,storage
3228,battery,0,True,1.875,storage
3231,battery,0,True,0.009818181818181818,storage
3287,battery,0,True,0.008583333333333333,storage
3289,battery,0,True,0.008583333333333333,storage
3291,battery,1,True,0.0125,storage
3292,battery,0,True,0.0125,storage
3293,battery,0,True,0.0125,storage
3323,battery,1,True,0.12333333333333334,storage
3341,battery,1,True,0.25,storage
3343,battery,0,True,0.25,storage
3347,battery,0,True,0.25,storage
3349,battery,0,True,0.25,storage
3350,battery,0,True,0.25,storage
3353,battery,1,True,0.06,storage
3372,battery,0,True,0.016666666666666666,storage
3374,battery,1,True,0.06999999999999999,storage
3381,battery,0,True,0.06999999999999999,storage
3445,battery,1,True,0.184,storage
3452,battery,1,True,0.011538461538461537,storage
3453,battery,0,True,0.011538461538461537,storage
3463,battery,0,True,0.011538461538461537,storage
3467,battery,1,True,0.09999999999999999,storage
3468,battery,0,True,0.09999999999999999,storage
3509,battery,0,True,0.18666666666666668,storage
3562,battery,1,True,0.05,storage
3628,battery,1,True,0.07500000000000001,storage
3635,battery,1,True,0.07500000000000001,storage
3636,battery,1,True,0.07500000000000001,storage
3637,battery,0,True,0.07500000000000001,storage
3643,battery,0,True,0.009696969696969697,storage
3646,battery,0,True,0.009696969696969697,storage
3765,battery,1,True,0.06666666666666667,storage
3807,battery,1,True,5.771875,storage
3808,battery,0,True,5.771875,storage
3809,battery,0,True,5.771875,storage
3810,battery,0,True,5.771875,storage
3812,battery,1,True,0.0175,storage
3941,battery,0,True,0.016666666666666666,storage
3984,battery,1,True,0.075,storage
3988,battery,1,True,0.7418,storage
3991,battery,0,True,0.009696969696969697,storage
3994,battery,0,True,0.009696969696969697,storage
4039,battery,0,True,0.054400000000000004,storage
4109,battery,0,True,0.014666666666666666,storage
4112,battery,0,True,0.009818181818181818,storage
4114,battery,0,True,0.009818181818181818,storage
4173,battery,1,True,0.01,storage
4182,battery,0,True,0.044,storage
4183,battery,0,True,0.044,storage
4198,battery,0,True,0.184,storage
4287,battery,0,True,1.875,storage
4290,battery,0,True,0.009818181818181818,storage
4370,battery,0,True,0.0125,storage
4373,battery,0,True,0.0125,storage
4415,battery,0,True,0.23583333333333334,storage
4436,battery,0,True,0.008583333333333333,storage
4442,battery,0,True,5.771875,storage
4445,battery,0,True,5.771875,storage
4448,battery,1,True,0.03333333333333333,storage
4449,battery,0,True,0.03333333333333333,storage
4510,battery,0,True,0.014666666666666666,storage
4512,battery,0,True,0.014666666666666666,storage
4555,battery,0,True,0.011538461538461537,storage
4557,battery,0,True,0.011538461538461537,storage
4612,battery,1,True,0.1337142857142857,storage
4614,battery,1,True,0.1337142857142857,storage
4639,pumped_hydro,11,False,1294.0,storage
4659,battery,1,True,0.2336666666666667,storage
4664,battery,1,True,0.2336666666666667,storage
4733,battery,1,True,15.804,storage
4739,battery,1,True,0.49866666666666665,storage
4750,battery,0,True,0.21333333333333335,storage
4869,battery,1,True,0.03375,storage
4870,battery,0,True,0.03375,storage
4920,battery,0,True,0.054400000000000004,storage
4924,battery,0,True,0.054400000000000004,storage
4928,battery,0,True,0.054400000000000004,storage
4930,battery,0,True,0.054400000000000004,storage
4963,battery,0,True,0.017083333333333332,storage
4998,battery,0,True,0.03333333333333333,storage
5000,battery,1,True,0.1,storage
5058,battery,1,True,1.6,storage
5089,battery,1,True,0.049999999999999996,storage
5090,battery,0,True,0.049999999999999996,storage
5091,battery,0,True,0.049999999999999996,storage
