line_id,bus0,bus1,length,s_nom,v_nom,cables,bus0_x,bus0_y,bus1_x,bus1_y
426,38377,1793,2.41339492186552,260,110,3,12.143226479682095,54.06519152530718,12.173346100000002,54.054785200000005
1077,2411,36840,0.5512391866526739,260,110,3,6.9153108,51.1248872,6.920547774037106,51.12212478565385
1189,38944,39616,0.22473366752110344,260,110,3,7.167772543382838,51.41973506961077,7.167398762797334,51.42165069392082
1794,3208,35357,0.4723265451144071,260,110,3,6.902312200000001,50.8486468,6.899738376290186,50.84398078791553
2297,3584,35199,3.6887189018157414,260,110,3,7.008628000000001,50.652700900000006,7.04554072334715,50.63142152219886
2405,3810,3809,0.5930761815176643,260,110,3,6.5808518000000005,51.1101164,6.586962000000001,51.1138222
2586,35439,35337,2.3140593897873525,260,110,3,7.0243847195176174,51.29130836879023,7.052524732489485,51.287021357322
2632,39478,38680,0.09726465123102358,260,110,3,7.208431433814025,51.5613300791263,7.208260196085748,51.561345468616175
2667,34928,34930,0.27030143583171623,260,110,3,6.569989726549341,51.049032103693534,6.56840704127158,51.047356325699184
2693,35329,4555,1.7722008620512137,260,110,3,6.685952054436086,51.218781699658784,6.666682600000001,51.229629900000006
4206,5678,5679,3.8316384282706233,260,110,3,6.843751,51.4951342,6.8989894000000005,51.495884
4442,37896,37802,1.6310683779191115,280,110,3,11.852765764323005,47.80626791517863,11.838773850000004,47.7951354
5158,35002,8095,1.5373477183193223,260,110,3,7.505982918763768,51.4016067641739,7.492766700000001,51.409551
5459,8847,8845,0.9996219796051893,260,110,3,6.401735100000001,51.1875233,6.389898700000001,51.192601
6260,10347,39765,2.5245941804214262,260,110,3,7.405874600000001,52.332660700000005,7.370535606806824,52.33984222038753
6449,36828,10334,0.6716127915482409,260,110,3,7.985069668433605,50.84222341097669,7.9772096,50.8358671
6562,36555,38463,1.2770810878591452,280,110,3,8.80421154897639,53.08872992282952,8.80506784807447,53.08574670084237
7338,39521,38517,0.11952209913126206,260,110,3,14.412331998746684,52.331915500518846,14.41161384185431,52.33167950294296
8191,34863,13777,1.142204170610048,260,110,3,10.101650397987918,53.57393177967404,10.108395,53.563997500000006
8743,15961,36811,2.6269578224423022,260,110,3,7.8261124,47.5673177,7.83856449692764,47.58623990526666
9134,37093,16198,0.3585020262605228,260,110,3,9.39783165,54.84239114999999,9.3973813,54.84113910000001
9140,38600,39596,0.2657800112591127,260,110,3,7.708877133333335,47.54085870000001,7.706928629411497,47.53960178359572
9255,34775,35349,0.3012967811806665,280,110,3,7.065219971687039,50.75248849515112,7.062846479947023,50.75370704987865
9316,37284,36811,4.392245010767858,260,110,3,7.802073109755481,47.57227396915207,7.83856449692764,47.58623990526666
9417,35967,36206,2.3438982926297047,280,110,3,13.384628199975506,52.51360426719389,13.418637026426662,52.51108405629692
9538,35349,34775,0.3229404496882415,280,110,3,7.062846479947023,50.75370704987865,7.065219971687039,50.75248849515112
9908,35347,35348,0.645346451649981,280,110,3,10.002750291839078,53.45205400120356,10.00130475820208,53.448969228491
9926,35347,35348,0.6626337977027159,280,110,3,10.002750291839078,53.45205400120356,10.00130475820208,53.448969228491
