Line,v_nom,length,s_nom,maxload,state,zone,score
27143,110.0,20.86227149799396,520.0,0.26380712,Sachsen,DSO:MITNETZ,15.934751466543613
18693,110.0,20.828772434160165,260.0,0.2613,Schleswig-Holstein,DSO:SH-Netz,15.856943782727486
27473,110.0,25.533902502214552,520.0,0.11717832,Thüringen,DSO:MITNETZ,15.758971071950533
20973,110.0,25.384885535121363,260.0,0.12064243,Hessen,DSO:Syna,15.754936882081779
10751,110.0,24.131408293690193,260.0,0.15100995,Baden-Württemberg,DSO:NetzeBW,15.709786116623619
26623,110.0,24.53517957866614,520.0,0.13863187,Baden-Württemberg,DSO:NetzeBW,15.668947867413348
27013,110.0,23.831579761528342,520.0,0.1574587,Thüringen,DSO:MITNETZ,15.668278566876642
26913,110.0,16.809671639258895,520.0,0.43079543,Baden-Württemberg,DSO:NetzeBW,15.646365560736813
25758,110.0,18.103050168441683,520.0,0.36174488,Baden-Württemberg,DSO:NetzeBW,15.6002108072803
32259,110.0,19.855830489896125,260.0,0.28565815,Baden-Württemberg,DSO:NetzeBW,15.599894475750759
7194,110.0,24.30905055619569,260.0,0.13954812,Nordrhein-Westfalen,DSO:Westnetz,15.546807652279083
17051,110.0,24.30905055619569,260.0,0.13954812,Nordrhein-Westfalen,DSO:Westnetz,15.546807652279083
27806,110.0,20.714913094468866,520.0,0.24039105,Hessen,DSO:Syna,15.337135552499527
31576,110.0,19.821721271922662,520.0,0.25879785,Baden-Württemberg,DSO:NetzeBW,15.040680158123482
13518,110.0,26.256819412961537,260.0,0.071932085,Sachsen,DSO:MITNETZ,15.017117272977513
17718,110.0,11.188231982027588,260.0,0.8196015,Schleswig-Holstein,DSO:SH-Netz,14.764008106338052
8342,110.0,11.188231982027588,260.0,0.8196015,Schleswig-Holstein,DSO:SH-Netz,14.764008106338052
16157,110.0,13.190224429661727,260.0,0.6168985,Nordrhein-Westfalen,DSO:Westnetz,14.73214236399805
6039,110.0,13.190224429661727,260.0,0.6168985,Nordrhein-Westfalen,DSO:Westnetz,14.73214236399805
17630,110.0,16.59218841650481,260.0,0.37055278,Hessen,DSO:Syna,14.444375723136487
8265,110.0,16.59218841650481,260.0,0.37055278,Hessen,DSO:Syna,14.444375723136487
9463,110.0,13.786450505678598,260.0,0.5446266,Hessen,DSO:Syna,14.40169282944117
