class,line_id,bus0,bus1,v_nom,s_nom,length_km,x_ohm,peak_flow_MW,peak_loading,suggested_fix,gen_MW,peak_load_MW,evacuation_MW,n_duplicates,endpoint_has_trafo,pocket_n_buses,pocket_gen_MW,pocket_peak_load_MW,nearest_ehv_bus,nearest_ehv_kv,nearest_ehv_km
A_no_transformer_pocket,26562,34903,34921,110.0,1040.0,0.8525621342145809,0.080448544,441.64483642578125,0.4246584965632512,add 380/110 kV transformer (≥600 MVA) between bus 34903 and EHV bus 34921 (7.5 km away),,,,,,20.0,1086.910920238095,166.61969897150993,34921,380.0,7.529826653345218
A_no_transformer_pocket,22588,23900,9813,110.0,1040.0,1.66913077673813,0.15760734,382.4586486816406,0.3677487006554237,add 220/110 kV transformer (≥600 MVA) between bus 23900 and EHV bus 9813 (0.3 km away),,,,,,2.0,10.5949655,5.5601999163627625,9813,220.0,0.25976675444420194
A_no_transformer_pocket,28444,20000,39223,110.0,520.0,14.21788714092339,2.6840946,362.5692138671875,0.6972484882061298,add 380/110 kV transformer (≥600 MVA) between bus 20000 and EHV bus 39223 (21.5 km away),,,,,,15.0,1572.3447414999998,95.16099928319454,39223,380.0,21.481240155057232
A_no_transformer_pocket,21365,31840,12874,110.0,520.0,7.6875961418162095,1.4526534,275.31402587890625,0.5294500497671274,add 380/110 kV transformer (≥300 MVA) between bus 31840 and EHV bus 12874 (7.2 km away),,,,,,11.0,744.7451905,97.32889959961176,12874,380.0,7.245641751870273
A_no_transformer_pocket,21201,30744,38022,110.0,520.0,1.0029392940861002,0.18943155,274.4651184082031,0.5278175354003907,add 220/110 kV transformer (≥300 MVA) between bus 30744 and EHV bus 38022 (7.3 km away),,,,,,12.0,728.4087675000001,81.3982987254858,38022,220.0,7.291569772811132
A_no_transformer_pocket,25894,25452,35369,110.0,520.0,7.780464528715015,1.4692183,272.1272888183594,0.5233217092660757,add 220/110 kV transformer (≥300 MVA) between bus 25452 and EHV bus 35369 (4.3 km away),,,,,,7.0,590.5820623999999,82.72399973869324,35369,220.0,4.328383218977467
A_no_transformer_pocket,25598,25628,13402,110.0,520.0,23.492488603345723,4.4358963,266.63946533203125,0.5127682025615986,add 220/110 kV transformer (≥300 MVA) between bus 25628 and EHV bus 13402 (9.6 km away),,,,,,15.0,1032.5583115,177.73559975624084,13402,220.0,9.560366244187
A_no_transformer_pocket,22752,39527,13633,110.0,260.0,2.2940437094154826,0.86242992,229.1932830810547,0.8815126272348257,add 380/110 kV transformer (≥300 MVA) between bus 39527 and EHV bus 13633 (12.0 km away),,,,,,7.0,432.3945939999999,37.71979959309101,13633,380.0,12.01613160879407
A_no_transformer_pocket,32960,38839,9400,110.0,280.0,1.3762925126706116,0.12970232,224.10977172851562,0.8003920418875557,add 220/110 kV transformer (≥300 MVA) between bus 38839 and EHV bus 9400 (22.6 km away),,,,,,10.0,405.1898499999999,219.19970571994781,9400,220.0,22.58069119445614
A_no_transformer_pocket,26828,20367,38028,110.0,520.0,3.607602672922341,0.68054272,211.99929809570312,0.4076909578763522,add 220/110 kV transformer (≥300 MVA) between bus 20367 and EHV bus 38028 (10.4 km away),,,,,,11.0,111.21351425000002,144.8935998082161,38028,220.0,10.4437776871662
A_no_transformer_pocket,26116,30687,15346,110.0,520.0,12.498770740653725,2.3625129,210.43528747558594,0.4046832451453576,add 380/110 kV transformer (≥300 MVA) between bus 30687 and EHV bus 15346 (22.0 km away),,,,,,21.0,923.1379680666666,236.14270074665546,15346,380.0,22.03162839428094
A_no_transformer_pocket,32484,25723,38668,110.0,520.0,11.506121155229078,2.1750234,203.04757690429688,0.39047610943134015,add 220/110 kV transformer (≥300 MVA) between bus 25723 and EHV bus 38668 (14.1 km away),,,,,,20.0,913.5314010000001,308.71270003914833,38668,220.0,14.128982260967158
A_no_transformer_pocket,21478,34340,37971,110.0,520.0,0.5759429456890426,0.093412726,200.86630249023438,0.3862813509427584,add 380/110 kV transformer (≥300 MVA) between bus 34340 and EHV bus 37971 (7.8 km away),,,,,,12.0,604.457514,33.892300352454185,37971,380.0,7.810142802467513
B_radial_overloaded,25296,30024,30026,110.0,260.0,3.8876098358326607,1.467004,2386.189453125,9.177651742788461,uplift s_nom (add parallel circuit) by 10x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,27753,25378,30026,110.0,260.0,11.114068960487845,4.1759157,2385.990966796875,9.176888333834135,uplift s_nom (add parallel circuit) by 10x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,25685,26400,36054,110.0,520.0,18.931628050745132,3.5716901,1147.505126953125,2.2067406287560094,uplift s_nom (add parallel circuit) by 3x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,27644,37397,26400,110.0,520.0,10.026577700632673,1.8871039,1142.273681640625,2.196680157001202,uplift s_nom (add parallel circuit) by 3x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,30480,40119,7174,110.0,280.0,0.9404832757602781,0.088809281,747.0089721679688,2.667889186314174,uplift s_nom (add parallel circuit) by 3x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,30481,40118,40119,110.0,280.0,1.4055142592377856,0.13257607,720.0153198242188,2.5714832850864955,uplift s_nom (add parallel circuit) by 3x; add EHV transformer at this pocket,,,,,False,,,,,,
