cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_515358077,osm_947118608,Umspannwerk Altentreptow Nord,Umspannwerk Altentreptow Süd,380.0,2,3,1,1,1,2,0.0,-1.0,32.8,"[3, 3]",Altentreptow/Nord - Altentreptow/Süd 477,Lubmin - Altentreptow/Süd 476
osm_517421342,spatial_7876,Umspannwerk Parchim Süd,spatial_7876,220.0,2,3,1,0,1,1,,0.0,103.7,"[3, 3]",,Parchim/Süd - Güstrow 328
osm_518455594,osm_947118608,Umspannwerk Gransee,Umspannwerk Altentreptow Süd,380.0,2,3,1,1,1,2,0.0,-1.0,153.0,"[3, 3]",Altentreptow/Süd - Gransee 479,Altentreptow/Süd - Malchow 518
osm_518455594,spatial_579,Umspannwerk Gransee,spatial_579,380.0,1,3,1,0,1,1,,0.0,49.1,[3],,Altentreptow/Süd - Malchow 518
osm_51940126,spatial_3260,Umspannwerk Bixterheide,spatial_3260,220.0,1,3,1,1,1,2,0.0,-1.0,11.1,[3],Y-Bixterheide (-Altenkleusheim - Opladen) BIGGE O ,Bixterheide - Garenfeld BIXTRH N 
osm_525964617,osm_525964629,NordLink HVDC Wilster,Umspannwerk Wilster,380.0,2,3,1,0,0,0,,,1.3,"[3, 3]",,
osm_525964629,spatial_1049,Umspannwerk Wilster,spatial_1049,380.0,1,3,1,0,2,2,,-1.0,7.2,[3],,Buettel - Wilster/W gelb; Buettel - Wilster/W rot
osm_525964629,spatial_117,Umspannwerk Wilster,spatial_117,380.0,1,3,1,0,4,4,,-3.0,5.3,[3],,Brokdorf - Wilster/W weiss; Wilster/W - Stade/W gelb; Brokdorf - Wilster/W schwarz; Dollern - Wilster/W rot
osm_52983550,spatial_12587,Eisenhüttenstadt,spatial_12587,380.0,2,3,1,2,0,2,-1.0,-1.0,14.8,"[3, 3]",Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 547-2; Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-2,
osm_53378027,spatial_12770,Umspannwerk Lechhausen,spatial_12770,380.0,2,3,1,0,2,2,,-1.0,14.4,"[3, 3]",,Lechhausen - Oberottmarshausen AUGSBU W ; Lechhausen - Meitingen LECHHA W 
osm_54359256,osm_82773910,Umspannwerk Uchtelfangen,Umspannanlage Ensdorf,380.0,1,6,2,2,0,2,0.0,0.0,23.2,[6],Ensdorf - Uchtelfangen TAUBNT N ; Ensdorf - Uchtelfangen TAUBNT S ,
osm_54359256,osm_89352550,Umspannwerk Uchtelfangen,Schaltanlage St. Barbara,220.0,1,3,1,1,1,2,0.0,-1.0,18.4,[3],St. Barbara - Uchtelfangen BABARA ,Y-Uchtelfangen (-Homburg - Mutterstadt) OTTERB S 
osm_54359256,spatial_14105,Umspannwerk Uchtelfangen,spatial_14105,220.0,2,3,1,1,1,2,0.0,-1.0,33.8,"[3, 3]",Y-Uchtelfangen (-Diefflen - Ensdorf) ENSDF S ,Diefflen - Uchtelfangen ELLBCH N 
osm_54359256,spatial_40348,Umspannwerk Uchtelfangen,spatial_40348,220.0,1,3,1,0,1,1,,0.0,39.3,[3],,Quint - Uchtelfangen OSBURG 
osm_55069713,spatial_14632,Umspannwerk Aschaffenburg,spatial_14632,380.0,2,3,1,0,2,2,,-1.0,9.2,"[3, 3]",,Bergrheinfeld/W - Grosskrotzenburg 417; Aschaffenburg - Grosskrotzenburg 412
osm_559702819,spatial_39452,Konverter Station Emden Ost,spatial_39452,380.0,1,3,1,0,2,2,,-1.0,28.4,[3],,Conneforde - Emden/O gelb; Conneforde/O - Emden/O blau
osm_57727004,osm_77038371,Umspannanlage Leupolz,Umspannwerk Bidingen,380.0,1,3,1,1,0,1,0.0,0.0,30.5,[3],Y-Leupolz (-Bidingen - Oberottmarshausen) ALLG O,
osm_57727004,spatial_12561,Umspannanlage Leupolz,spatial_12561,380.0,1,3,1,0,0,0,,,81.7,[3],,
