,mean_loading_pct,max_loading_pct,s_nom,v_nom
33277,40.988320530726256,57.91428212290503,3580.0,380.0
33278,5.1196810176282055,14.765017884615384,520.0,110.0
33279,5.607758653846154,7.036646538461539,520.0,110.0
33280,0.0,0.0,520.0,220.0
33281,20.11762239292365,32.738340782122904,3580.0,380.0
33282,12.128051153044872,30.369059615384614,520.0,220.0
33283,18.815209743589744,26.97113153846154,260.0,110.0
33284,13.197773809935898,27.199261153846155,260.0,110.0
33285,2.4317426698717948,5.187488846153846,260.0,110.0
21894,0.38195850961538463,1.0031715384615385,260.0,110.0
21898,3.7315641099679486,9.851208846153847,520.0,110.0
33286,5.894182104166667,9.646636923076922,520.0,110.0
33287,1.081214357142857,1.7102383214285717,280.0,110.0
33288,3.674414102564102,5.653238076923077,520.0,110.0
33289,25.587259455128205,32.26957153846154,260.0,110.0
33290,12.304655933962339,23.443975000000002,1040.0,220.0
21899,8.771353437499998,13.56402019230769,520.0,110.0
33291,1.5917327283653844,2.1389175,1040.0,110.0
33292,2.0279043133012817,2.7710109615384617,520.0,110.0
21901,7.046954298878205,15.20476153846154,1040.0,110.0
21902,1.8682444806891025,5.077096346153846,520.0,110.0
21913,3.460697235576923,4.480352115384615,520.0,110.0
33293,9.240741113782052,13.564874423076922,520.0,110.0
33294,7.263220488782051,12.32894673076923,520.0,110.0
33295,2.4296185817307694,3.6069615384615386,520.0,110.0
21915,7.079800336538462,9.642812307692306,520.0,110.0
33296,39.097955849358975,49.29459807692307,520.0,110.0
33297,2.0410821634615384,5.259838269230769,520.0,110.0
33298,8.239200016025642,15.73987,520.0,110.0
33299,29.73678329326923,59.20500288461539,1040.0,110.0
33300,29.78850172275641,59.358496153846154,1040.0,110.0
21918,0.047620136217948715,0.14681673076923077,260.0,110.0
33301,0.03769842948717949,0.1162273076923077,1040.0,110.0
33302,4.909114943910256,6.726547692307692,520.0,110.0
33303,5.874621498397436,8.337318461538462,520.0,110.0
33304,4.594542258653846,10.716492307692308,260.0,110.0
33305,1.4844108974358976,2.702625,260.0,110.0
21922,8.66607891826923,12.290585192307692,520.0,110.0
33306,0.2658617548076923,0.5179029807692308,1040.0,110.0
33307,0.9450824835737178,1.991338269230769,1040.0,110.0
33308,6.639254152403846,16.115652115384616,520.0,110.0
33309,14.92251864342949,23.9762,520.0,110.0
33310,1.7103597756410256,4.867439807692308,520.0,110.0
33311,21.322317267628204,26.290101923076925,520.0,110.0
33312,2.0000246688301284,5.811816538461539,520.0,110.0
33313,1.6432229487179486,3.7867294230769226,520.0,110.0
33314,18.09847301675978,34.08890670391062,1790.0,380.0
33315,11.996946588541666,23.953173214285712,1120.0,110.0
21925,0.7247570897435898,1.0517486730769232,520.0,110.0
33316,24.91043147113594,40.960597765363126,3580.0,380.0
33317,1.6663290064102565,4.630433846153846,260.0,110.0
21926,5.264492572115384,7.101701153846155,520.0,110.0
21929,10.94812193341346,17.892443461538463,520.0,110.0
33318,2.9623514743589747,4.226964423076923,520.0,110.0
21932,1.4530205368589744,1.9193217307692307,520.0,110.0
21936,0.0,0.0,520.0,110.0
33319,7.130155136217948,12.906647499999998,520.0,110.0
21938,4.9746837788461535,10.144577115384616,520.0,110.0
33320,5.728421939102565,7.214404807692308,520.0,110.0
