bus_id,carrier,n_units,is_aggregated,p_nom_mw,component
233.0,biogas,1,True,0.0586,generator
233.0,other,1,False,1.98,generator
233.0,solar,366,True,3.9044338000000005,generator
234.0,biogas,1,True,0.0586,generator
234.0,onwind,2,False,1.2,generator
234.0,solar,366,True,3.9044338000000005,generator
238.0,biogas,1,True,0.19246666666666667,generator
238.0,biomass,1,True,0.08246666666666667,generator
238.0,run_of_river,1,False,0.864,generator
238.0,solar,436,True,7.770169066666666,generator
240.0,biogas,0,True,0.19246666666666667,generator
240.0,biomass,1,True,0.08246666666666667,generator
240.0,oil,1,False,1.0,generator
240.0,solar,490,True,7.930629066666667,generator
242.0,biogas,0,True,0.19246666666666667,generator
242.0,biomass,0,True,0.08246666666666667,generator
242.0,gas,5,False,123.5,generator
242.0,solar,435,True,7.590169066666666,generator
242.0,waste,1,False,3.906,generator
244.0,biogas,0,True,0.19246666666666667,generator
244.0,biomass,0,True,0.08246666666666667,generator
244.0,solar,435,True,7.590169066666666,generator
246.0,biogas,1,True,0.125,generator
246.0,onwind,25,False,54.349999999999994,generator
246.0,solar,73,True,1.2437735,generator
247.0,biogas,1,True,0.125,generator
247.0,solar,73,True,1.2437735,generator
248.0,biogas,4,True,1.5870000000000002,generator
248.0,gas,3,False,16.022,generator
248.0,onwind,4,False,5.2,generator
248.0,solar,562,True,8.327493,generator
251.0,biogas,9,True,2.5,generator
251.0,onwind,1,False,0.8,generator
251.0,solar,442,True,6.020505,generator
253.0,biogas,3,True,1.504,generator
253.0,onwind,2,False,1.4,generator
253.0,run_of_river,2,False,12.100999999999999,generator
253.0,solar,472,True,18.012320000000003,generator
255.0,biogas,14,True,3.554333333333333,generator
255.0,oil,10,False,20.0,generator
255.0,run_of_river,2,False,0.65,generator
255.0,solar,802,True,12.022832666666666,generator
257.0,biogas,0,True,0.03333333333333333,generator
257.0,run_of_river,1,False,0.05,generator
257.0,solar,231,True,3.5857076666666665,generator
258.0,solar,1423,True,13.229434,generator
259.0,biogas,0,True,0.03333333333333333,generator
259.0,solar,231,True,3.5857076666666665,generator
261.0,biogas,2,True,1.5542,generator
261.0,solar,267,True,3.345154,generator
263.0,biogas,8,True,3.4,generator
263.0,biomass,1,True,0.025,generator
263.0,gas,2,False,2.894,generator
263.0,onwind,2,False,1.3,generator
263.0,run_of_river,1,False,0.401,generator
263.0,solar,1686,True,27.612088,generator
282.0,biogas,1,True,0.3453056338028169,generator
282.0,biomass,0,True,0.028169014084507043,generator
282.0,gas,4,False,10.306999999999999,generator
282.0,solar,381,True,3.0971534084507044,generator
285.0,biogas,1,True,0.3453056338028169,generator
285.0,biomass,0,True,0.028169014084507043,generator
285.0,solar,381,True,3.0971534084507044,generator
286.0,biogas,1,True,0.3453056338028169,generator
286.0,biomass,0,True,0.028169014084507043,generator
286.0,solar,381,True,3.0971534084507044,generator
289.0,run_of_river,3,False,0.6164999999999999,generator
289.0,solar,738,True,11.017925,generator
290.0,run_of_river,1,False,0.084,generator
290.0,solar,852,True,14.700856,generator
293.0,biogas,2,True,0.7050000000000001,generator
293.0,onwind,7,False,7.8,generator
293.0,solar,825,True,16.978531000000004,generator
295.0,biogas,3,True,0.30182,generator
295.0,solar,975,True,8.8850246,generator
298.0,onwind,15,False,25.0,generator
313.0,biogas,1,True,0.0885,generator
313.0,run_of_river,1,False,0.05,generator
313.0,solar,657,True,8.030734,generator
315.0,biogas,0,True,0.0885,generator
315.0,gas,3,False,5.9006,generator
315.0,oil,1,False,1.25,generator
315.0,other,2,False,6.1406,generator
315.0,run_of_river,1,False,0.119,generator
315.0,solar,1092,True,16.993096,generator
317.0,biogas,1,True,0.095,generator
317.0,solar,277,True,5.9347825,generator
354.0,onwind,67,False,143.29999999999998,generator
364.0,biogas,4,True,1.512,generator
364.0,run_of_river,1,False,0.27,generator
364.0,solar,299,True,9.602143,generator
367.0,biogas,2,True,1.887,generator
367.0,solar,2092,True,11.582761,generator
369.0,biogas,2,True,0.3994,generator
369.0,run_of_river,1,False,0.148,generator
369.0,solar,149,True,4.706702,generator
371.0,biogas,1,True,0.15,generator
371.0,onwind,7,False,9.7,generator
371.0,solar,574,True,4.93449875,generator
372.0,biogas,1,True,0.6663333333333333,generator
372.0,onwind,9,False,17.15,generator
372.0,solar,660,True,31.192028333333333,generator
375.0,biogas,3,True,0.842,generator
375.0,biomass,1,True,3.0,generator
375.0,onwind,9,False,8.1,generator
375.0,solar,633,True,6.5422970000000005,generator
376.0,biogas,28,True,12.659500000000001,generator
376.0,onwind,3,False,3.4000000000000004,generator
376.0,run_of_river,1,False,0.42,generator
376.0,solar,3451,True,34.316778,generator
408.0,biogas,3,True,0.324,generator
408.0,solar,1239,True,35.07969,generator
415.0,biogas,2,True,0.42515000000000003,generator
415.0,biomass,1,True,0.0009375,generator
415.0,solar,540,True,8.566636375,generator
417.0,biogas,1,True,0.075,generator
417.0,run_of_river,1,False,0.08,generator
417.0,solar,287,True,5.150521,generator
425.0,biogas,1,True,0.24333333333333332,generator
425.0,biomass,1,True,0.013333333333333334,generator
425.0,solar,1395,True,15.666981999999999,generator
427.0,solar,363,True,10.920865666666666,generator
428.0,biogas,1,True,0.24333333333333332,generator
428.0,biomass,1,True,0.013333333333333334,generator
428.0,solar,1395,True,15.666981999999999,generator
432.0,solar,408,True,4.520215333333334,generator
441.0,onwind,8,False,29.1,generator
441.0,solar,45,True,0.673705,generator
443.0,biogas,1,True,0.365,generator
443.0,run_of_river,2,False,0.46,generator
443.0,solar,257,True,1.72657,generator
444.0,biogas,5,True,1.708,generator
444.0,solar,332,True,4.846890999999999,generator
445.0,biogas,1,True,0.6,generator
445.0,onwind,3,False,12.600000000000001,generator
445.0,solar,118,True,4.42276,generator
468.0,biogas,21,True,13.131333333333334,generator
468.0,biomass,1,True,0.12,generator
468.0,onwind,26,False,73.9,generator
468.0,solar,703,True,12.053318166666667,generator
469.0,biogas,5,True,2.551,generator
469.0,solar,268,True,3.5973222,generator
470.0,biogas,5,True,2.551,generator
470.0,onwind,31,False,74.9,generator
470.0,solar,268,True,3.5973222,generator
471.0,biogas,7,True,1.9823333333333333,generator
471.0,biomass,1,True,0.024999999999999998,generator
471.0,onwind,15,False,39.9,generator
471.0,solar,387,True,5.2409229999999996,generator
478.0,onwind,6,False,8.7,generator
478.0,solar,1218,True,11.782153000000001,generator
479.0,biogas,1,True,0.3696428571428571,generator
479.0,solar,743,True,6.646617214285714,generator
491.0,biogas,1,True,0.15178571428571427,generator
491.0,onwind,9,False,28.1,generator
491.0,solar,211,True,2.6963612142857145,generator
492.0,biogas,0,True,0.15178571428571427,generator
492.0,onwind,31,False,60.275,generator
492.0,solar,211,True,2.6963612142857145,generator
493.0,biogas,9,True,3.71623,generator
493.0,onwind,20,False,39.48,generator
493.0,solar,702,True,16.038716,generator
494.0,biogas,5,True,2.0964,generator
494.0,onwind,16,False,19.1,generator
494.0,solar,404,True,6.0172902,generator
495.0,biogas,5,True,2.0964,generator
495.0,onwind,12,False,8.025,generator
495.0,solar,431,True,6.7305702,generator
503.0,biogas,1,True,0.078,generator
503.0,gas,3,False,12.899999999999999,generator
503.0,solar,907,True,11.474099666666667,generator
506.0,solar,477,True,21.089115333333332,generator
533.0,biogas,1,True,0.37,generator
533.0,onwind,1,False,0.6,generator
