line_id,bus0,bus1,length,s_nom,v_nom,cables,bus0_x,bus0_y,bus1_x,bus1_y
4935,38002,7807,0.7213189780901693,260,110,3,7.623409151058104,51.6372236162229,7.626502100000001,51.6313187
4939,7590,38684,1.3355809710545317,260,110,3,7.596931400000001,51.9180332,7.597230818917577,51.92655973318761
7006,37044,38770,0.11969930605855514,260,110,3,13.23818175771152,53.68213861076574,13.237574804624511,53.68131206455014
9028,15951,16198,1.7612142005073825,280,110,3,9.4025466,54.854674200000005,9.3973813,54.84113910000001
9498,36199,36200,0.04614520405062595,280,110,3,13.360125823705696,52.56655916056823,13.360694563576,52.566671381200685
9896,38882,39116,0.11333347017113145,280,110,3,14.173574769923682,52.65029323553498,14.174859426240817,52.65091637653352
10084,35335,36130,1.6388585622478198,280,110,3,9.974931952612714,53.56074961323509,9.951289677373104,53.5607153989677
10279,36660,35959,2.385000730742392,280,110,3,13.582000091256482,52.44396889129847,13.586371701053032,52.45648378648738
10354,19565,19568,1.4804011429882618,280,110,3,12.5482832,51.8662908,12.5677706,51.870392300000006
10902,38331,38919,0.09275000231527046,260,110,3,13.87005561723553,51.94870822322291,13.87016638532026,51.94813587043141
11064,39159,38708,0.13824439299122318,260,110,3,11.704120564530449,51.392129267397166,11.704348334148278,51.39094097069314
11228,38743,37977,0.16511145067406588,260,110,3,8.149488571674711,53.56366864805275,8.147837119262814,53.56354694125226
14411,5943,35089,1.8199038490561004,260,110,3,6.925447800000001,51.5480827,6.931940613081919,51.56504456479772
17561,13996,38811,0.6452370796020136,520,110,6,8.4601193,49.5423575,8.467515750000002,49.5410452
18718,38602,38461,0.061438928590764365,260,110,3,12.626427251378878,52.33560212326749,12.626632578548977,52.33633698998014
20205,39201,34793,0.20522061503308445,260,110,3,7.415536648221813,51.45668320611336,7.417046808647565,51.457221831935954
20291,39436,39139,0.053897720289140666,260,110,3,13.766364258516898,52.74632929726148,13.767294162203076,52.746746012362514
20581,39490,39491,0.058673791948987,260,110,3,7.189715,51.92649315,7.1890652,51.92650985
20626,39382,39481,0.05274576776030017,260,110,3,14.377502967964578,52.34012657167024,14.376505192912916,52.33967040349641
20985,28707,38547,0.8039379833963176,280,110,3,6.7493606,49.2866153,6.755478656771264,49.2820353421015
21936,38557,37574,0.14394426323087497,520,110,6,11.915166637731888,50.34438485160576,11.916553497704076,50.3456361869916
22566,25623,34928,0.607156152498794,1040,110,12,6.5776865,51.051546,6.569989726549341,51.049032103693534
22781,26121,26122,11.26199292964038,280,110,3,9.8470904,47.4850435,9.8956476,47.5808721
22843,37489,38528,0.5120954629536318,260,110,3,11.807606343131445,48.4554275398014,11.803477839116818,48.4557102229422
23138,39114,38882,0.3543079675897063,280,110,3,14.175030019100708,52.64795179893056,14.173574769923682,52.65029323553498
23923,24728,36921,1.040502897101082,780,110,9,6.899177900000001,49.257729100000006,6.906023429312305,49.25082761445567
24739,38322,35984,0.2437466272455838,280,110,3,13.40949665,48.57912665,13.40960127711284,48.581228315751616
25012,35448,39303,0.197727084465431,260,110,3,7.034650396991815,52.2041974058308,7.034948633916239,52.20299653514868
25701,32277,35425,0.4926181893798338,520,110,6,11.3868949,53.590706,11.38671199744049,53.59446253516013
25709,31381,39402,11.494539685617923,520,110,6,10.749198300000002,47.494407900000006,10.653643417949953,47.567980956457845
26145,36811,31016,5.478086032520246,260,110,3,7.83856449692764,47.58623990526666,7.878041400000001,47.549801900000006
