bid1,v1,bid2,v2,x1,y1,x2,y2,approx_dist_km,trafo_status
2207,110,3925,220,7.019904800000001,51.5615742,7.019904800000001,51.5615742,0.000,MISSING
5270,110,5606,220,6.7264064,51.5195796,6.7264064,51.5195796,0.000,MISSING
6876,110,7566,220,6.650584,51.5533988,6.650667500000001,51.553702300000005,0.035,MISSING
39282,110,39558,220,13.305765586233877,52.23079683634844,13.306340695859848,52.23082066002767,0.064,MISSING
35690,110,37312,220,6.664781482352115,50.9883810614097,6.664952480037685,50.98770688634185,0.077,MISSING
10328,110,11486,220,7.970253400000001,50.9541527,7.9695049,50.9541103,0.083,MISSING
36241,110,39356,220,6.812032435431693,51.51923899676012,6.8124143683267,51.519927845331175,0.087,MISSING
35360,110,39333,220,9.145084451718358,52.85279753984992,9.14525540455062,52.85362749136264,0.094,MISSING
2416,110,3034,220,6.9365803,51.1415501,6.9357514,51.1420911,0.110,MISSING
35285,110,39314,220,9.988361727823069,53.765936154720805,9.988549942726362,53.766911518972286,0.110,MISSING
35703,110,39458,220,9.72703059547631,54.2920108395428,9.726960959542495,54.2909483054181,0.118,MISSING
37493,110,39326,220,11.326780376177682,49.39299819075278,11.32714423418942,49.39400906866628,0.119,MISSING
35964,110,39251,220,14.034194323994042,53.50846646518773,14.033539122948156,53.50758634532222,0.122,MISSING
36192,110,37961,220,10.734635272043953,51.441298010190735,10.734669450629,51.44018679097661,0.123,MISSING
37880,110,38836,220,8.512162509222842,49.29448806689552,8.511568709329763,49.29351704676071,0.126,MISSING
34925,110,39334,220,8.659610012459455,52.00034857382484,8.659214623379532,51.999116957559146,0.144,MISSING
39135,110,39138,220,9.88352459579955,51.51557462115947,9.882236528721029,51.51543259723413,0.144,MISSING
24086,110,39155,220,12.2167983,48.5866004,12.216864085479104,48.58793355527016,0.148,MISSING
35320,110,39321,220,8.932880076577137,52.19344813112031,8.931484042273178,52.19315479134929,0.158,MISSING
35426,110,39273,220,13.07796657824258,54.2855934289143,13.0792365937709,54.28475789860841,0.169,MISSING
37338,110,39328,220,9.249511097600768,53.11377011851981,9.250434911442971,53.11499931513949,0.171,MISSING
36141,110,39346,220,7.010023248773772,52.17729076051084,7.011600422827155,52.17763913797469,0.179,MISSING
39210,110,39283,220,13.304414531390682,52.231687845001886,13.305765586233877,52.23079683634844,0.180,MISSING
2630,110,4217,220,6.5839531,51.4395796,6.5835533,51.4379647,0.185,MISSING
38639,110,39368,220,10.087649794874086,52.31512566651798,10.08720389319712,52.3167497614755,0.187,MISSING
5249,110,5759,220,6.7708900000000005,51.529320600000005,6.770576200000001,51.5310204,0.192,MISSING
37455,110,39411,220,11.646043667505122,50.534326600156895,11.64534704571244,50.53596277912805,0.197,MISSING
2547,110,4010,220,7.1785706000000005,51.423591300000005,7.179217,51.421828700000006,0.208,MISSING
39469,110,39472,220,8.052627229803113,53.334960837497285,8.052012197053083,53.33307136740971,0.221,MISSING
39210,110,39558,220,13.304414531390682,52.231687845001886,13.306340695859848,52.23082066002767,0.234,MISSING
35780,110,37961,220,10.736411657790825,51.43890432121393,10.734669450629,51.44018679097661,0.240,MISSING
36146,110,39301,220,9.850759391412176,51.64914224419812,9.852928400878314,51.64927355446412,0.241,MISSING
37529,110,39240,220,13.710001853833573,52.53916797794064,13.70998661477319,52.541410686318194,0.249,MISSING
35741,110,39289,220,11.11981695512298,50.99913579352918,11.121629012063108,51.00056065447514,0.256,MISSING
39198,110,39301,220,9.851509193873897,51.64744842639764,9.852928400878314,51.64927355446412,0.257,MISSING
36095,110,39307,220,7.709038739055081,51.67646671921386,7.707251732454117,51.67498467731031,0.258,MISSING
37352,110,39322,220,7.890386064217829,52.27794041517114,7.888048605195514,52.2775993000819,0.262,MISSING
35406,110,39211,220,13.302942360157438,52.23353641483878,13.304414531390682,52.231687845001886,0.262,MISSING
39466,110,39472,220,8.053978897380992,53.33175068895626,8.052012197053083,53.33307136740971,0.263,MISSING
36296,110,36300,220,6.801901926183781,51.12493154312898,6.800926567669436,51.122741406475456,0.266,MISSING
35227,110,39213,220,12.942934968142938,52.56249764066207,12.940721729327564,52.56349194665249,0.269,MISSING
35964,110,39903,220,14.034194323994042,53.50846646518773,14.036326565244094,53.507163250001526,0.277,MISSING
37608,110,39289,220,11.123140782291909,50.9985213554333,11.121629012063108,51.00056065447514,0.282,MISSING
35390,110,39420,220,12.11438092678556,49.63110584983995,12.117056106374422,49.6310409093979,0.297,MISSING
38253,110,38473,220,7.029982785409355,49.334660450376205,7.032657738999395,49.33473737285781,0.297,MISSING
35962,110,38118,220,14.27065698816345,53.0960179911851,14.268638974984714,53.09783446837545,0.301,MISSING
2063,110,3475,220,7.1044713,51.4807885,7.104841,51.4780839,0.303,MISSING
35616,110,39430,220,12.187783572738413,53.81650473574705,12.185485056826556,53.81502079087587,0.304,MISSING
35678,110,39265,220,12.517063548402716,51.15625143714208,12.519533915607822,51.15742764266873,0.304,MISSING
35227,110,39215,220,12.942934968142938,52.56249764066207,12.940597003468826,52.56101411828772,0.307,MISSING
7098,110,37348,220,6.8682185,51.4442128,6.868911667667838,51.44692875399185,0.311,MISSING
36578,110,36581,220,7.1793735139746016,51.47220069994448,7.180005676045837,51.47494727152525,0.313,MISSING
39250,110,39903,220,14.033539122948156,53.50758634532222,14.036326565244094,53.507163250001526,0.313,MISSING
