bus_id,v_nom,x,y,country,line_count
2411,110,6.9153108,51.1248872,DE,2
3208,110,6.902312200000001,50.8486468,DE,2
3584,110,7.008628000000001,50.652700900000006,DE,2
3810,110,6.5808518000000005,51.1101164,DE,2
4555,110,6.666682600000001,51.229629900000006,DE,2
5678,110,6.843751,51.4951342,DE,2
8095,110,7.492766700000001,51.409551,DE,2
8847,110,6.401735100000001,51.1875233,DE,2
10334,110,7.9772096,50.8358671,DE,2
10347,110,7.405874600000001,52.332660700000005,DE,2
13777,110,10.108395,53.563997500000006,DE,2
15961,110,7.8261124,47.5673177,CH,2
26952,110,9.9239906,52.37926830000001,DE,2
34930,110,6.56840704127158,51.047356325699184,DE,2
35236,110,11.82408805,48.33920165000001,DE,2
35337,110,7.052524732489485,51.287021357322,DE,2
35348,110,10.00130475820208,53.448969228491,DE,2
35349,110,7.062846479947023,50.75370704987865,DE,2
35351,110,7.120291975095661,50.71423000298828,DE,2
35420,110,7.049715749348086,50.90372347441465,DE,2
35708,110,9.173702188368498,47.68303591521043,DE,2
35728,110,7.045632398254677,50.705771147745466,DE,2
36050,110,7.123393732499234,50.85170987526678,DE,2
36202,110,13.470082986381115,52.50906124064424,DE,2
36206,110,13.418637026426662,52.51108405629692,DE,2
36211,110,13.306758661733918,52.52158806946724,DE,2
36274,110,11.594349912944995,48.18907804756725,DE,2
36371,110,7.529537007367701,50.98132365452132,DE,2
36383,110,11.63809584748095,51.65499431826276,DE,2
36449,110,14.34825505263964,51.53485047526664,DE,2
36559,110,12.188222024444782,53.81134802824029,DE,2
36636,110,14.603510800000002,52.166058750000005,DE,2
36767,110,14.241180022150132,53.10629164329868,DE,2
36827,110,6.977537281533492,49.2438656981672,DE,2
37093,110,9.39783165,54.84239114999999,DE,2
37228,110,7.144565244089455,49.33464218242332,DE,2
37284,110,7.802073109755481,47.57227396915207,DE,2
37376,110,14.451150678356964,51.840084677510745,DE,2
37471,110,10.653853398027014,53.83909922774409,DE,2
37510,110,11.3270294,48.0421075,DE,2
37707,110,13.811660762265833,51.02801526119439,DE,2
37806,110,10.97975384124878,52.169496016934495,DE,2
37896,110,11.852765764323005,47.80626791517863,DE,2
37956,110,12.02525521241903,51.31224303894958,DE,2
38085,110,12.9496192,50.84685985000001,DE,2
38234,110,11.585089948989785,50.894117880945245,DE,2
38253,110,7.029982785409355,49.334660450376205,DE,2
38377,110,12.143226479682095,54.06519152530718,DE,2
38385,110,12.091112764972884,51.93275838961669,DE,2
38463,110,8.80506784807447,53.08574670084237,DE,2
38600,110,7.708877133333335,47.54085870000001,DE,2
38680,110,7.208260196085748,51.561345468616175,DE,2
38683,110,7.02802640282749,50.97958257103487,DE,2
38727,110,13.257350655898689,50.93010090034698,DE,2
38752,110,13.462445809219536,52.50259655610479,DE,2
38784,110,14.239119270424826,53.0876787673397,DE,2
38794,110,12.9210848,50.8578922,DE,2
38839,110,9.15945814715132,47.663508906457984,DE,2
38840,110,12.24029679075353,51.64588222106179,DE,2
38855,110,11.71470625,51.58771505,DE,2
38888,110,10.923742714545895,47.860982945464976,DE,2
38944,110,7.167772543382838,51.41973506961077,DE,2
39485,110,9.944722212603624,53.48952745051389,DE,2
39486,110,7.324040951698817,51.43274791085052,DE,2
39521,110,14.412331998746684,52.331915500518846,DE,2
40090,110,14.27090935352478,51.570842082862,DE,2
5042,220,6.658057500000001,51.0394834,DE,2
8610,220,6.498837300000001,49.734815000000005,LU,2
10007,220,9.8472818,51.47242060000001,DE,2
11807,220,13.081244900000002,48.25837730000001,AT,2
12250,220,6.1908319,49.955158700000005,LU,2
23260,220,8.050318,53.334097,DE,2
35807,220,6.728239825154268,51.48788010684733,DE,2
36577,220,11.277721046613763,47.4958729165224,DE,2
36892,220,6.749708533134513,49.36517124402397,DE,2
38539,220,6.711960470071324,51.5283135820712,DE,2
38682,220,8.563087100000002,49.52853630000001,DE,2
38723,220,7.431061569096977,51.42821345181845,DE,2
39240,220,13.70998661477319,52.541410686318194,DE,2
39545,220,13.681521241679093,54.14594761795716,DE,2
39739,220,8.097352478512319,50.8220282129881,DE,2
39899,220,12.882876057852542,48.32293252030608,DE,2
39942,220,6.498829882852461,51.36433800274291,DE,2
39967,220,6.537496399915105,49.59825038998047,DE,2
40204,220,8.742358763597862,50.14043765226426,DE,2
40205,220,8.739873519039376,50.13486795057904,DE,2
582,380,13.6959863,52.55912,DE,2
5283,380,14.4771413,53.1927955,PL,2
5655,380,7.0021347,51.603206400000005,DE,2
11831,380,14.965471,51.0529414,PL,2
11870,380,7.7529392,47.540561,CH,2
11934,380,14.567854,51.41061860000001,DE,2
12666,380,13.2101441,50.5289197,CZ,2
12682,380,9.2693349,55.0354115,DK,2
16916,380,8.0456828,47.552780600000006,CH,2
17700,380,7.1873021,52.752734200000006,DE,2
35189,380,6.488123286661568,50.88107033603762,DE,2
35564,380,7.461859863672664,51.40888845186956,DE,2
36056,380,9.047412739003356,51.16778725283144,DE,2
36087,380,7.992887306488767,51.683707712089074,DE,2
36621,380,6.6893428283731815,51.57642293039144,DE,2
36628,380,6.622843270629824,51.25871337756656,DE,2
37291,380,8.477910650000002,53.42848550000001,DE,2
37519,380,9.234917528799713,53.91684811437019,DE,2
37672,380,9.177459855534646,49.037809845085725,DE,2
38081,380,12.881244971616702,50.51864566298131,DE,2
38703,380,6.836896910560902,51.78318822328868,DE,2
38704,380,6.803224039521027,51.76025564803369,DE,2
39006,380,10.40852671683493,53.41133024866237,DE,2
39040,380,7.968127044990727,51.67638743707052,DE,2
39148,380,7.33818190382724,51.63166062376026,DE,2
39164,380,6.888440434322166,51.850351555263146,DE,2
39218,380,12.216090433950455,54.100890899527386,DE,2
39298,380,8.546007722802605,52.991324807356655,DE,2
39517,380,8.415766276875175,49.70519433073057,DE,2
39835,380,13.231257956544477,52.539432271980274,DE,2
39843,380,8.018169193282102,49.81546838218184,DE,2
