state,category,modeled,reference,diff_TWh,diff_pct
Berlin,GEN_gas_TWh,3.3,2.0,1.3,65.6
Berlin,GEN_hard_coal_TWh,1.2,1.0,0.2,23.7
Berlin,GEN_solar_TWh,0.4,0.2,0.2,18.5
Hamburg,LOAD_total_TWh,9.3,14.0,-4.7,-33.9
Hamburg,GEN_biogas_TWh,0.1,0.0,0.1,999.0
Hamburg,GEN_biomass_TWh,0.1,0.0,0.1,999.0
Hamburg,GEN_gas_TWh,0.4,0.8,-0.4,-38.9
Hamburg,GEN_hard_coal_TWh,0.5,4.0,-3.5,-88.7
Hamburg,GEN_onwind_TWh,0.2,0.0,0.2,999.0
Hamburg,GEN_solar_TWh,0.2,0.0,0.2,999.0
Mecklenburg-Vorpommern,LOAD_total_TWh,8.0,8.0,0.0,0.5
Mecklenburg-Vorpommern,GEN_biogas_TWh,1.6,1.4,0.2,16.9
Mecklenburg-Vorpommern,GEN_biomass_TWh,0.4,0.0,0.4,999.0
Mecklenburg-Vorpommern,GEN_gas_TWh,1.0,0.0,1.0,999.0
Mecklenburg-Vorpommern,GEN_hard_coal_TWh,1.0,0.0,1.0,999.0
Mecklenburg-Vorpommern,GEN_onwind_TWh,6.3,7.5,-1.2,-16.3
Mecklenburg-Vorpommern,GEN_solar_TWh,3.7,1.8,1.9,106.5
Bremen,LOAD_total_TWh,2.9,7.0,-4.1,-57.9
Bremen,GEN_biomass_TWh,0.5,0.0,0.5,999.0
Bremen,GEN_gas_TWh,2.1,1.0,1.1,109.4
Bremen,GEN_hard_coal_TWh,0.0,2.0,-2.0,-100.0
Bremen,GEN_onwind_TWh,0.4,0.0,0.4,999.0
Bremen,GEN_solar_TWh,0.1,0.0,0.1,999.0
Saarland,LOAD_total_TWh,7.3,11.0,-3.7,-34.0
Saarland,GEN_biomass_TWh,0.1,0.0,0.1,999.0
Saarland,GEN_gas_TWh,0.9,1.5,-0.6,-42.6
Saarland,GEN_hard_coal_TWh,3.4,2.0,1.4,67.7
Saarland,GEN_onwind_TWh,1.0,0.0,1.0,999.0
Saarland,GEN_solar_TWh,1.1,0.0,1.1,999.0
