trafo_id,bus0,bus1,s_nom,t_x,t_r,v0,v1,bus0_x,bus0_y,bus1_x,bus1_y
31028,39244,39245,780,0.12,0.003,110,220,12.81442145413348,50.85678022161893,12.81442145413348,50.85678022161893
30857,39300,39301,780,0.12,0.003,110,220,9.852928400878314,51.64927355446412,9.852928400878314,51.64927355446412
30859,37540,37541,520,0.12,0.003,110,220,11.58137197036542,48.76489385387552,11.58137197036542,48.76489385387552
30861,37834,37835,1920,0.12,0.003,110,220,8.313340225406103,49.0090434726611,8.313340225406103,49.0090434726611
30864,35416,35417,1300,0.12,0.003,110,220,9.529613132778817,53.61897916086547,9.529613132778817,53.61897916086547
30865,37352,37353,520,0.12,0.003,110,220,7.890386064217829,52.27794041517114,7.890386064217829,52.27794041517114
30868,36165,36166,1560,0.12,0.003,110,220,9.04543545075604,48.90296099705386,9.04543545075604,48.90296099705386
30871,34939,34940,1040,0.12,0.003,110,220,10.505499193025514,52.30183792010767,10.505499193025514,52.30183792010767
30873,39457,39458,520,0.12,0.003,110,220,9.726960959542495,54.2909483054181,9.726960959542495,54.2909483054181
30874,34953,34954,520,0.12,0.003,110,220,6.577290606676843,51.55639121872458,6.577290606676843,51.55639121872458
30875,36567,36568,1040,0.12,0.003,110,220,6.920161421361798,49.97058618721199,6.920161421361798,49.97058618721199
30876,39250,39251,780,0.12,0.003,110,220,14.033539122948156,53.50758634532222,14.033539122948156,53.50758634532222
30878,35131,35132,1560,0.12,0.003,110,220,9.196637399889136,48.91294964394958,9.196637399889136,48.91294964394958
30879,36911,36912,1040,0.12,0.003,110,220,13.00276613640534,48.26199911816352,13.00276613640534,48.26199911816352
30880,34818,34819,1040,0.12,0.003,110,220,8.95900945577423,52.278529561469,8.95900945577423,52.278529561469
30881,38971,38972,1560,0.12,0.003,110,220,10.213738841470423,47.93872175518876,10.213738841470423,47.93872175518876
30884,39355,39356,520,0.12,0.003,110,220,6.8124143683267,51.519927845331175,6.8124143683267,51.519927845331175
30885,36036,36037,1040,0.12,0.003,110,220,9.885508871535515,48.30406967249351,9.885508871535515,48.30406967249351
30888,38061,38062,1820,0.12,0.003,110,220,8.50196295274932,49.44495899427859,8.50196295274932,49.44495899427859
30889,35400,35401,260,0.12,0.003,110,220,7.179765081080847,51.5477933774321,7.179765081080847,51.5477933774321
30894,35642,35643,1040,0.12,0.003,110,220,12.213541114842831,54.11198200041447,12.213541114842831,54.11198200041447
30895,36063,36064,520,0.12,0.003,110,220,10.11739845870108,48.89713778809889,10.11739845870108,48.89713778809889
30898,38571,38572,260,0.12,0.003,110,220,7.753495510341047,48.09935573352422,7.753495510341047,48.09935573352422
30900,34807,34808,1040,0.12,0.003,110,220,6.221831906937472,51.69464227886543,6.221831906937472,51.69464227886543
30901,39332,39333,520,0.12,0.003,110,220,9.14525540455062,52.85362749136264,9.14525540455062,52.85362749136264
30902,37489,37490,1560,0.12,0.003,110,220,11.807606343131445,48.4554275398014,11.807606343131445,48.4554275398014
30905,35631,35632,1040,0.12,0.003,110,220,8.248770026745456,48.84633443030695,8.248770026745456,48.84633443030695
30906,34870,34871,2080,0.12,0.003,110,220,8.537219075722877,50.07808506811362,8.537219075722877,50.07808506811362
30907,38519,38520,1040,0.12,0.003,110,220,8.820024908006184,53.10738832342774,8.820024908006184,53.10738832342774
30908,35696,35697,4160,0.12,0.003,110,220,9.918175987686068,52.38000537591712,9.918175987686068,52.38000537591712
30911,38044,38045,1040,0.12,0.003,110,220,7.593298308071136,50.3859466537668,7.593298308071136,50.3859466537668
30915,39282,39283,520,0.12,0.003,110,220,13.305765586233877,52.23079683634844,13.305765586233877,52.23079683634844
30919,35021,35022,1040,0.12,0.003,110,220,10.160303312667772,49.9891567500025,10.160303312667772,49.9891567500025
30922,36392,36393,3640,0.12,0.003,110,220,6.9964592026997074,49.37540332206004,6.9964592026997074,49.37540332206004
30925,37342,37343,520,0.12,0.003,110,220,7.1257288028618,51.44906599034108,7.1257288028618,51.44906599034108
30928,39367,39368,1340,0.12,0.003,110,220,10.08720389319712,52.3167497614755,10.08720389319712,52.3167497614755
30929,35596,35597,1300,0.12,0.003,110,220,6.772521017747271,51.14710319021344,6.772521017747271,51.14710319021344
30931,34763,34764,520,0.12,0.003,110,220,6.9759298273874375,51.037602504526,6.9759298273874375,51.037602504526
